call_path,py_component,c_component,c_path
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_dataloader_dataset.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_ema.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_ema.py,get_tensor,tensor_method_get_underline_tensor,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
F:\python_workplace\Paddle-develop\python\paddle\distribution\normal.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\distribution\normal.py,scale,eager_api_scale,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_get_tensor_from_selected_rows_op.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\auto_parallel\test_comm_cost.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\auto_parallel\test_comm_cost.py,CommContext,CommContext,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\communicator_py.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_argsort_op.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_argsort_op.py,is_compiled_with_cuda,IsCompiledWithCUDA,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\npu\test_truncated_gaussian_random_op_npu.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_fake_init_op.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_auto_parallel_graph.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\autograd\backward_mode.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\autograd\backward_mode.py,Tensor,DenseTensor,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\tensor.cc
