c_path,module_name,py_fun_name,c_fun_name,lineno,lambda_len
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,clear_gradients,lambda expression,788,114.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,gpu_memory_available,lambda expression,798,92.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,wait_device,lambda expression,827,86.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,from_dlpack,lambda expression,831,91.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,_create_loaded_parameter,lambda expression,856,113.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,save_op_version_info,lambda expression,863,208.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,set_printoptions,lambda expression,871,657.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,broadcast_shape,lambda expression,896,149.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,_append_python_callable_object_and_return_id,lambda expression,903,89.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,_get_all_register_op_kernels,lambda expression,912,1085.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,_get_registered_phi_kernels,lambda expression,968,149.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,Scope,lambda expression,1307,81.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,get_all_op_protos,lambda expression,1324,297.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,get_all_op_names,lambda expression,1340,558.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,get_op_attrs_default_value,lambda expression,1378,133.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,get_op_extra_attrs,lambda expression,1391,127.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,get_attrtibute_type,lambda expression,1397,138.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,get_grad_op_desc,lambda expression,1410,197.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,has_comp_grad_op_maker,lambda expression,1477,96.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,has_grad_op_maker,lambda expression,1480,92.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,has_non_empty_grad_op_maker,lambda expression,1483,100.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,has_infer_inplace,lambda expression,1488,93.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,infer_no_need_buffer_slots,lambda expression,1491,174.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,prune,lambda expression,1506,305.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,get_serialize_comile_key,lambda expression,1539,289.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,get_all_device_type,lambda expression,1699,360.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,get_all_custom_device_type,lambda expression,1713,380.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,get_available_device,lambda expression,1727,344.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,get_available_custom_device,lambda expression,1741,368.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,get_custom_device_count,lambda expression,1757,391.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,load_op_meta_info_and_register_op,lambda expression,2005,114.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,init_devices,lambda expression,2009,183.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,init_tensor_operants,lambda expression,2019,315.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,_cuda_synchronize,lambda expression,2050,90.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,get_float_stats,lambda expression,2054,248.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,get_int_stats,lambda expression,2063,248.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,run_cmd,lambda expression,2075,123.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,shell_execute_cmd,lambda expression,2086,160.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,is_float16_supported,lambda expression,2101,92.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,is_bfloat16_supported,lambda expression,2105,92.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,get_fetch_variable,lambda expression,2123,213.0
