path,class_name,lineno
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\pybind.cc,Tensor,527
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\pybind.cc,Variable,1059
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\pybind.cc,CUDAPlace,1362
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\pybind.cc,Place,1562
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\pybind.cc,OperatorBase,1610
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\pybind.cc,Executor,1667
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\pybind.cc,Pass,2001
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\pybind.cc,BuildStrategy,2217
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\pybind.cc,Tensor,527
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\pybind.cc,Variable,1059
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\pybind.cc,CUDAPlace,1362
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\pybind.cc,Place,1562
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\pybind.cc,OperatorBase,1610
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\pybind.cc,Executor,1667
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\pybind.cc,Pass,2001
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\pybind.cc,BuildStrategy,2217
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\ascend_wrapper_py.cc,Session,216
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\ascend_wrapper_py.cc,Graph,244
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\ascend_wrapper_py.cc,Operator,285
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\ascend_wrapper_py.cc,Tensor,603
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\ascend_wrapper_py.cc,TensorDesc,636
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\ascend_wrapper_py.cc,Session,216
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\ascend_wrapper_py.cc,Graph,244
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\ascend_wrapper_py.cc,Operator,285
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\ascend_wrapper_py.cc,Tensor,603
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\ascend_wrapper_py.cc,TensorDesc,636
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\box_helper_py.cc,BoxWrapper,64
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\box_helper_py.cc,BoxWrapper,64
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\communicator_py.cc,CommContext,48
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\communicator_py.cc,CommContext,48
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\data_set_py.cc,Dataset,200
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\data_set_py.cc,Dataset,200
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\fleet_py.cc,FleetWrapper,46
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\fleet_py.cc,CommContext,79
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\fleet_py.cc,FleetWrapper,46
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\fleet_py.cc,CommContext,79
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\fleet_wrapper_py.cc,FleetWrapper,44
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\fleet_wrapper_py.cc,FleetWrapper,44
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\gloo_wrapper_py.cc,GlooWrapper,34
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\gloo_wrapper_py.cc,GlooWrapper,34
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\ir.cc,Graph,55
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\ir.cc,Node,129
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\ir.cc,Graph,55
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\ir.cc,Node,129
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\protobuf.cc,ProgramDesc,47
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\protobuf.cc,BlockDesc,85
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\protobuf.cc,VarDesc,147
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\protobuf.cc,OpDesc,217
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\protobuf.cc,ProgramDesc,47
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\protobuf.cc,BlockDesc,85
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\protobuf.cc,VarDesc,147
F:\DLFs_dataset\paddle\Paddle-2.0.0\paddle\fluid\pybind\protobuf.cc,OpDesc,217
