c_path,module_name,py_fun_name,c_fun_name,lineno,lambda_len
F:\DLFs_dataset\paddle\Paddle-2.3.0\paddle\fluid\pybind\pybind.cc,core_avx,clear_gradients,lambda expression,570,114.0
F:\DLFs_dataset\paddle\Paddle-2.3.0\paddle\fluid\pybind\pybind.cc,core_avx,gpu_memory_available,lambda expression,580,92.0
F:\DLFs_dataset\paddle\Paddle-2.3.0\paddle\fluid\pybind\pybind.cc,core_avx,wait_device,lambda expression,606,86.0
F:\DLFs_dataset\paddle\Paddle-2.3.0\paddle\fluid\pybind\pybind.cc,core_avx,from_dlpack,lambda expression,610,91.0
F:\DLFs_dataset\paddle\Paddle-2.3.0\paddle\fluid\pybind\pybind.cc,core_avx,_create_loaded_parameter,lambda expression,634,112.0
F:\DLFs_dataset\paddle\Paddle-2.3.0\paddle\fluid\pybind\pybind.cc,core_avx,save_op_version_info,lambda expression,640,208.0
F:\DLFs_dataset\paddle\Paddle-2.3.0\paddle\fluid\pybind\pybind.cc,core_avx,set_printoptions,lambda expression,648,657.0
F:\DLFs_dataset\paddle\Paddle-2.3.0\paddle\fluid\pybind\pybind.cc,core_avx,broadcast_shape,lambda expression,673,157.0
F:\DLFs_dataset\paddle\Paddle-2.3.0\paddle\fluid\pybind\pybind.cc,core_avx,_append_python_callable_object_and_return_id,lambda expression,679,89.0
F:\DLFs_dataset\paddle\Paddle-2.3.0\paddle\fluid\pybind\pybind.cc,core_avx,_get_all_register_op_kernels,lambda expression,688,1061.0
F:\DLFs_dataset\paddle\Paddle-2.3.0\paddle\fluid\pybind\pybind.cc,core_avx,get_all_op_protos,lambda expression,1813,297.0
F:\DLFs_dataset\paddle\Paddle-2.3.0\paddle\fluid\pybind\pybind.cc,core_avx,get_op_attrs_default_value,lambda expression,1828,133.0
F:\DLFs_dataset\paddle\Paddle-2.3.0\paddle\fluid\pybind\pybind.cc,core_avx,get_grad_op_desc,lambda expression,1841,235.0
F:\DLFs_dataset\paddle\Paddle-2.3.0\paddle\fluid\pybind\pybind.cc,core_avx,has_grad_op_maker,lambda expression,1857,92.0
F:\DLFs_dataset\paddle\Paddle-2.3.0\paddle\fluid\pybind\pybind.cc,core_avx,has_non_empty_grad_op_maker,lambda expression,1860,100.0
F:\DLFs_dataset\paddle\Paddle-2.3.0\paddle\fluid\pybind\pybind.cc,core_avx,has_infer_inplace,lambda expression,1865,93.0
F:\DLFs_dataset\paddle\Paddle-2.3.0\paddle\fluid\pybind\pybind.cc,core_avx,infer_no_need_buffer_slots,lambda expression,1868,174.0
F:\DLFs_dataset\paddle\Paddle-2.3.0\paddle\fluid\pybind\pybind.cc,core_avx,prune,lambda expression,1882,317.0
F:\DLFs_dataset\paddle\Paddle-2.3.0\paddle\fluid\pybind\pybind.cc,core_avx,get_all_device_type,lambda expression,2038,370.0
