call_path,py_component,c_component,c_path
F:\python_workplace\chainer-master\chainer\functions\evaluation\r2_score.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\backends\_chainerx.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\backends\_chainerx.py,Device,Device,F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\device.cc
F:\python_workplace\chainer-master\chainer\backends\_chainerx.py,array,lambda expression,F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\routines.cc
F:\python_workplace\chainer-master\chainerx\_device.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\functions\loss\crf1d.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\functions\loss\crf1d.py,logsumexp,lambda expression,F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\routines.cc
F:\python_workplace\chainer-master\chainer\functions\loss\crf1d.py,argmax,lambda expression,F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\routines.cc
F:\python_workplace\chainer-master\chainer\links\rnn\n_step_lstm.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\functions\rnn\n_step_gru.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\functions\rnn\n_step_gru.py,array,lambda expression,F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\routines.cc
F:\python_workplace\chainer-master\chainerx\_fallback_workarounds.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainerx\_fallback_workarounds.py,array,lambda expression,F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\routines.cc
F:\python_workplace\chainer-master\chainer\functions\array\separate.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\optimizers\rmsprop.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\optimizers\rmsprop.py,grad,lambda expression,F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\backward.cc
F:\python_workplace\chainer-master\chainer\distributions\bernoulli.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\distributions\bernoulli.py,array,lambda expression,F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\routines.cc
F:\python_workplace\chainer-master\chainer\distributions\bernoulli.py,log,lambda expression,F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\routines.cc
F:\python_workplace\chainer-master\chainer\functions\math\sign.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\links\connection\parameter.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\functions\pooling\unpooling_2d.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\functions\pooling\unpooling_2d.py,conv,lambda expression,F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\routines.cc
F:\python_workplace\chainer-master\chainer\functions\rnn\n_step_rnn.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\functions\rnn\n_step_rnn.py,array,lambda expression,F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\routines.cc
F:\python_workplace\chainer-master\chainermn\communicators\flat_communicator.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\reporter.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\reporter.py,array,lambda expression,F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\routines.cc
F:\python_workplace\chainer-master\chainerx\_docs\array.py,all calls is excessive,,
F:\python_workplace\chainer-master\examples\wavenet\utils.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\links\activation\simplified_dropconnect.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\functions\loss\absolute_error.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainerx\_docs\backend.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\distributions\independent.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\distributions\independent.py,sum,lambda expression,F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\routines.cc
F:\python_workplace\chainer-master\chainer\distributions\uniform.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\utils\__init__.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\functions\array\copy.py,all calls is excessive,,
F:\python_workplace\chainer-master\examples\sentiment\train_sentiment.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\links\model\vision\resnet.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\links\rnn\zoneoutlstm.py,all calls is excessive,,
F:\python_workplace\chainer-master\examples\vae\train_vae.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\distributions\laplace.py,all calls is excessive,,
F:\python_workplace\chainer-master\chainer\distributions\laplace.py,abs,lambda expression,F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\routines.cc
F:\python_workplace\chainer-master\chainer\utils\array.py,all calls is excessive,,
F:\python_workplace\chainer-master\examples\chainermn\imagenet\train_imagenet.py,all calls is excessive,,
