path,c_class_name,py_class_name,lineno
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\context.cc,PyContextScope,ContextScope,95
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\device.cc,PyDeviceScope,DeviceScope,83
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\graph.cc,AnyGraph,AnyGraph,52
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\graph.cc,BackpropId,BackpropId,57
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\graph.cc,PyBackpropScope,BackpropScope,68
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\scalar.cc,Scalar,_Scalar,51
path,c_fun_name,py_fun_name,lineno
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\context.cc,SetDefaultContext,set_default_context,88
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\context.cc,GetGlobalDefaultContext,get_global_default_context,90
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\context.cc,lambda expression,context_scope,99
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\graph.cc,lambda expression,backprop_scope,72
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\routines.cc,lambda expression,exp2,949
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\routines.cc,lambda expression,nansum,1031
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\routines.cc,lambda expression,nansum,1036
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\routines.cc,lambda expression,nanargmax,1095
F:\python_workplace\chainer-master\chainerx_cc\chainerx\python\routines.cc,lambda expression,nanargmin,1099
