c_path,module_name,py_fun_name,c_fun_name,lineno,lambda_len
F:\DLFs_dataset\chainer\chainer-6.6.0\chainerx_cc\chainerx\python\core_module.cc,_core,_set_pybind_doc,lambda expression,74,163.0
F:\DLFs_dataset\chainer\chainer-6.6.0\chainerx_cc\chainerx\python\array.cc,_core,_fromrawpointer,lambda expression,143,285.0
F:\DLFs_dataset\chainer\chainer-6.6.0\chainerx_cc\chainerx\python\backward.cc,_core,backward,lambda expression,40,242.0
F:\DLFs_dataset\chainer\chainer-6.6.0\chainerx_cc\chainerx\python\backward.cc,_core,backward,lambda expression,50,308.0
F:\DLFs_dataset\chainer\chainer-6.6.0\chainerx_cc\chainerx\python\backward.cc,_core,grad,lambda expression,60,493.0
F:\DLFs_dataset\chainer\chainer-6.6.0\chainerx_cc\chainerx\python\chainer_interop.cc,_core,_function_node_forward,lambda expression,48,1044.0
F:\DLFs_dataset\chainer\chainer-6.6.0\chainerx_cc\chainerx\python\check_backward.cc,_core,check_backward,lambda expression,43,343.0
F:\DLFs_dataset\chainer\chainer-6.6.0\chainerx_cc\chainerx\python\context.cc,_core,get_device,lambda expression,76,81.0
F:\DLFs_dataset\chainer\chainer-6.6.0\chainerx_cc\chainerx\python\device.cc,_core,using_device,lambda expression,88,95.0
F:\DLFs_dataset\chainer\chainer-6.6.0\chainerx_cc\chainerx\python\device.cc,_core,using_device,lambda expression,89,105.0
F:\DLFs_dataset\chainer\chainer-6.6.0\chainerx_cc\chainerx\python\graph.cc,_core,backprop_scope,lambda expression,69,106.0
