lineno,path
126,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
158,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
171,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
185,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
221,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
259,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
260,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
261,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
264,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
265,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
266,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
267,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
269,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
270,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
273,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
274,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
275,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
276,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
278,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
279,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
282,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
283,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
284,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
285,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
287,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
288,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
307,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
309,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
310,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
311,F:\python_workplace\mindspore-master\mindspore\python\mindspore\run_check\_check_version.py
