path,class_name,lineno
F:\DLFs_dataset\mindspore\mindspore-1.9.0\mindspore\ccsrc\debug\debugger\offline_debug\mi_pybind_register.cc,DbgServices,24
F:\DLFs_dataset\mindspore\mindspore-1.9.0\mindspore\ccsrc\debug\debugger\offline_debug\mi_pybind_register.cc,watchpoint_hit_t,44
F:\DLFs_dataset\mindspore\mindspore-1.9.0\mindspore\ccsrc\debug\debugger\offline_debug\mi_pybind_register.cc,TensorStatData,77
F:\DLFs_dataset\mindspore\mindspore-1.9.0\mindspore\ccsrc\minddata\mindrecord\common\shard_pybind.cc,ShardHeader,76
F:\DLFs_dataset\mindspore\mindspore-1.9.0\mindspore\ccsrc\minddata\mindrecord\common\shard_pybind.cc,ShardSegment,200
F:\DLFs_dataset\mindspore\mindspore-1.9.0\mindspore\ccsrc\pipeline\jit\init.cc,GraphExecutorPy,138
F:\DLFs_dataset\mindspore\mindspore-1.9.0\mindspore\ccsrc\pipeline\jit\init.cc,ParallelContext,216
F:\DLFs_dataset\mindspore\mindspore-1.9.0\mindspore\ccsrc\pipeline\jit\init.cc,CostModelContext,312
F:\DLFs_dataset\mindspore\mindspore-1.9.0\mindspore\ccsrc\pipeline\pynative\pynative_execute.cc,PyNativeExecutor,235
F:\DLFs_dataset\mindspore\mindspore-1.9.0\mindspore\ccsrc\pybind_api\ir\param_info_py.cc,ParamInfo,24
F:\DLFs_dataset\mindspore\mindspore-1.9.0\mindspore\ccsrc\pybind_api\ir\primitive_py.cc,PrimitivePyAdapter,688
F:\DLFs_dataset\mindspore\mindspore-1.9.0\mindspore\lite\python\src\context_pybind.cc,AscendDeviceInfo,48
F:\DLFs_dataset\mindspore\mindspore-1.9.0\mindspore\lite\python\src\context_pybind.cc,Context,82
F:\DLFs_dataset\mindspore\mindspore-1.9.0\mindspore\lite\python\src\converter_pybind.cc,Converter,33
F:\DLFs_dataset\mindspore\mindspore-1.9.0\mindspore\lite\python\src\model_pybind.cc,Model,62
F:\DLFs_dataset\mindspore\mindspore-1.9.0\mindspore\lite\python\src\model_pybind.cc,RunnerConfig,84
F:\DLFs_dataset\mindspore\mindspore-1.9.0\mindspore\lite\python\src\tensor_pybind.cc,MSTensor,75
