call_path,py_component,c_component,c_path
F:\python_workplace\pytorch-master\torch\__config__.py,all calls is excessive,,
F:\python_workplace\pytorch-master\functorch\dim\tree_map.py,all calls is excessive,,
F:\python_workplace\pytorch-master\torch\distributions\relaxed_categorical.py,all calls is excessive,,
F:\python_workplace\pytorch-master\torch\linalg\__init__.py,all calls is excessive,,
F:\python_workplace\pytorch-master\torch\linalg\__init__.py,_add_docstr,THPModule_addDocStr,F:\python_workplace\pytorch-master\torch\csrc\Module.cpp
F:\python_workplace\pytorch-master\torch\testing\_internal\common_cuda.py,all calls is excessive,,
F:\python_workplace\pytorch-master\torch\testing\_internal\common_cuda.py,cuda,THPVariable_cuda,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
F:\python_workplace\pytorch-master\torch\testing\_internal\common_cuda.py,range,THPVariable_range,F:\python_workplace\pytorch-master\torch\csrc\autograd\python_torch_functions_manual.cpp
F:\python_workplace\pytorch-master\caffe2\python\operator_test\normalize_op_test.py,all calls is excessive,,
F:\python_workplace\pytorch-master\caffe2\python\operator_test\normalize_op_test.py,range,THPVariable_range,F:\python_workplace\pytorch-master\torch\csrc\autograd\python_torch_functions_manual.cpp
F:\python_workplace\pytorch-master\torch\distributed\elastic\utils\distributed.py,all calls is excessive,,
F:\python_workplace\pytorch-master\torch\distributed\elastic\utils\distributed.py,bind,DimList_bind,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
F:\python_workplace\pytorch-master\torch\distributed\_shard\sharded_tensor\shard.py,all calls is excessive,,
F:\python_workplace\pytorch-master\torch\distributed\_shard\sharded_tensor\shard.py,tensor,THPVariable_tensor,F:\python_workplace\pytorch-master\torch\csrc\autograd\python_torch_functions_manual.cpp
F:\python_workplace\pytorch-master\benchmarks\distributed\ddp\compare\python_ddp.py,all calls is excessive,,
F:\python_workplace\pytorch-master\benchmarks\distributed\ddp\compare\python_ddp.py,add,add,F:\python_workplace\pytorch-master\test\cpp_extensions\cuda_dlink_extension.cpp
F:\python_workplace\pytorch-master\benchmarks\distributed\ddp\compare\python_ddp.py,register_hook,THPFunction_register_hook,F:\python_workplace\pytorch-master\torch\csrc\autograd\python_function.cpp
F:\python_workplace\pytorch-master\benchmarks\distributed\ddp\compare\python_ddp.py,wait,THCPEvent_wait,F:\python_workplace\pytorch-master\torch\csrc\cuda\Event.cpp
F:\python_workplace\pytorch-master\benchmarks\distributed\ddp\compare\python_ddp.py,new,THPVariable_new,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
F:\python_workplace\pytorch-master\benchmarks\distributed\ddp\compare\python_ddp.py,numel,THPVariable_numel,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
