path,fun_name,lineno
F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp,create_dim,1463
F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp,create_dimlist,1471
F:\python_workplace\pytorch-master\torch\csrc\Device.cpp,THPDevice_reduce,144
F:\python_workplace\pytorch-master\torch\csrc\Dtype.cpp,THPDtype_reduce,51
F:\python_workplace\pytorch-master\torch\csrc\MemoryFormat.cpp,THPMemoryFormat_reduce,31
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_addDocStr,267
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_hasDistributed,390
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_setDefaultTensorType,253
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_setDefaultDtype,260
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_inferSize,332
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_userEnabledFlashSDP,531
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_setSDPUseFlash,522
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,userEnabledMemEfficientSDP,546
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_setSDPUseMemEfficient,537
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_userEnabledMathSDP,561
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_setSDPUseMath,552
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_userEnabledCuDNN,577
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_setUserEnabledCuDNN,567
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_userEnabledMkldnn,594
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_setUserEnabledMkldnn,584
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_allowTF32CuDNN,490
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_setAllowTF32CuDNN,480
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_benchmarkCuDNN,697
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_setBenchmarkCuDNN,687
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_deterministicCuDNN,613
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_setDeterministicCuDNN,601
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_deterministicAlgorithms,636
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_deterministicAlgorithmsWarnOnly,645
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_setDeterministicAlgorithms,620
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_warnAlways,664
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_setWarnAlways,654
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_warn,672
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_warnDeprecation,680
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_allowTF32CuBLAS,714
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_setAllowTF32CuBLAS,704
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_float32MatmulPrecision,510
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_setFloat32MatmulPrecision,497
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_allowFP16ReductionCuBLAS,733
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_setAllowFP16ReductionCuBLAS,721
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_toDLPack,437
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_fromDLPack,445
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THModule_getCppBacktrace,453
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_setFlushDenormal,742
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_getDefaultDtype,754
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_getDefaultDevice,763
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_qEngine,784
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_setQEngine,771
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_supportedQEngines,788
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_isEnabledXNNPACK,802
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_willEngineExecuteNode,809
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_getCurrentGraphTaskExecutionOrder,852
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_getCurrentGraphTaskId,874
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_setDefaultMobileCPUAllocator,880
F:\python_workplace\pytorch-master\torch\csrc\Module.cpp,THPModule_unsetDefaultMobileCPUAllocator,889
F:\python_workplace\pytorch-master\torch\csrc\QScheme.cpp,THPQScheme_reduce,25
F:\python_workplace\pytorch-master\torch\csrc\StorageMethods.cpp,THPStorage_writeFile,356
F:\python_workplace\pytorch-master\torch\csrc\StorageMethods.cpp,THPStorage_newWithFile,384
F:\python_workplace\pytorch-master\torch\csrc\StorageMethods.cpp,THPStorage__setCdata,471
F:\python_workplace\pytorch-master\torch\csrc\StorageSharing.cpp,THPStorage_newWithWeakPtr,576
F:\python_workplace\pytorch-master\torch\csrc\StorageSharing.cpp,THPStorage_freeWeakRef,589
F:\python_workplace\pytorch-master\torch\csrc\StorageSharing.cpp,THPStorage_expired,603
F:\python_workplace\pytorch-master\torch\csrc\StorageSharing.cpp,THPStorage_sharedFd,612
F:\python_workplace\pytorch-master\torch\csrc\StorageSharing.cpp,THPStorage_isShared,626
F:\python_workplace\pytorch-master\torch\csrc\autograd\python_engine.cpp,THPEngine_run_backward,168
F:\python_workplace\pytorch-master\torch\csrc\autograd\python_engine.cpp,THPEngine_queue_callback,357
F:\python_workplace\pytorch-master\torch\csrc\autograd\python_engine.cpp,THPEngine_is_checkpoint_valid,375
F:\python_workplace\pytorch-master\torch\csrc\autograd\python_function.cpp,THPFunction_name,798
F:\python_workplace\pytorch-master\torch\csrc\autograd\python_function.cpp,THPFunction_maybe_clear_saved_tensors,812
F:\python_workplace\pytorch-master\torch\csrc\autograd\python_function.cpp,THPFunction_apply,824
F:\python_workplace\pytorch-master\torch\csrc\autograd\python_function.cpp,THPFunction__register_hook_dict,910
F:\python_workplace\pytorch-master\torch\csrc\autograd\python_function.cpp,THPFunction_register_hook,932
F:\python_workplace\pytorch-master\torch\csrc\autograd\python_function.cpp,THPFunction_register_prehook,947
F:\python_workplace\pytorch-master\torch\csrc\cuda\Module.cpp,THCPModule_setDevice_wrap,75
F:\python_workplace\pytorch-master\torch\csrc\cuda\Module.cpp,THCPModule_getDevice_wrap,87
