path,c_class_name,py_class_name,lineno
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,DLPackWrapper,DLPackTensorCPU,433
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,BackgroundPlan,BackgroundPlan,629
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,Transaction,Transaction,664
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,Cursor,Cursor,667
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,DB,DB,679
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,Caffe2BackendRep,Caffe2BackenRep,769
F:\python_workplace\pytorch-master\caffe2\python\pybind_state_gpu.cc,DLPackWrapper,DLPackTensorCUDA,133
F:\python_workplace\pytorch-master\caffe2\python\pybind_state_hip.cc,DLPackWrapper,DLPackTensorHIP,54
F:\python_workplace\pytorch-master\caffe2\quantization\server\pybind.cc,TensorQuantizationParams,QueryTensorQparam,257
F:\python_workplace\pytorch-master\test\cpp_extensions\extension.cpp,MatrixMultiplier,MatrixMultiplier,40
F:\python_workplace\pytorch-master\test\cpp_extensions\jit_extension.cpp,Doubler,Doubler,16
F:\python_workplace\pytorch-master\caffe2\python\pybind_state_gpu.cc,DLPackWrapper,DLPackTensorCUDA,133
F:\python_workplace\pytorch-master\caffe2\python\pybind_state_hip.cc,DLPackWrapper,DLPackTensorHIP,54
path,c_fun_name,py_fun_name,lineno
F:\python_workplace\pytorch-master\benchmarks\operator_benchmark\pt_extension\extension.cpp,consume,_consume,26.0
F:\python_workplace\pytorch-master\benchmarks\operator_benchmark\pt_extension\extension.cpp,consume_list,_consume_list,27.0
F:\python_workplace\pytorch-master\caffe2\python\mpi_python.cc,MPISetupPeers,SetupPeers,12.0
F:\python_workplace\pytorch-master\caffe2\python\mpi_python.cc,lambda expression,CommSize,18.0
F:\python_workplace\pytorch-master\caffe2\python\mpi_python.cc,lambda expression,CommRank,22.0
F:\python_workplace\pytorch-master\caffe2\python\mpi_python.cc,lambda expression,Finalize,26.0
F:\python_workplace\pytorch-master\caffe2\python\mpi_python.cc,lambda expression,Broadcast,33.0
F:\python_workplace\pytorch-master\caffe2\quantization\server\pybind.cc,lambda expression,ClearNetObservers,24.0
F:\python_workplace\pytorch-master\caffe2\quantization\server\pybind.cc,lambda expression,DumpHistogramFile,65.0
F:\python_workplace\pytorch-master\caffe2\quantization\server\pybind.cc,lambda expression,AddHistogramObserver,74.0
F:\python_workplace\pytorch-master\caffe2\quantization\server\pybind.cc,lambda expression,DumpOutputColumnMaxHistogramFile,102.0
F:\python_workplace\pytorch-master\caffe2\quantization\server\pybind.cc,lambda expression,ChooseQuantizationParams,150.0
F:\python_workplace\pytorch-master\caffe2\quantization\server\pybind.cc,lambda expression,RegisterQuantizationParams,179.0
F:\python_workplace\pytorch-master\caffe2\quantization\server\pybind.cc,lambda expression,RegisterQuantizationParamsWithHistogram,195.0
