path,fun_name,lineno
F:\DLFs_dataset\pytorch\pytorch-1.12.0\torch\csrc\Device.cpp,THPDevice_reduce,144
F:\DLFs_dataset\pytorch\pytorch-1.12.0\torch\csrc\Dtype.cpp,THPDtype_reduce,54
F:\DLFs_dataset\pytorch\pytorch-1.12.0\torch\csrc\Module.cpp,THPModule_addDocStr,217
F:\DLFs_dataset\pytorch\pytorch-1.12.0\torch\csrc\Module.cpp,THPModule_hasDistributed,319
F:\DLFs_dataset\pytorch\pytorch-1.12.0\torch\csrc\Module.cpp,THPModule_setDefaultTensorType,201
F:\DLFs_dataset\pytorch\pytorch-1.12.0\torch\csrc\Module.cpp,THPModule_setDefaultDtype,209
F:\DLFs_dataset\pytorch\pytorch-1.12.0\torch\csrc\Module.cpp,THPModule_inferSize,276
F:\DLFs_dataset\pytorch\pytorch-1.12.0\torch\csrc\Module.cpp,THPModule_userEnabledCuDNN,425
F:\DLFs_dataset\pytorch\pytorch-1.12.0\torch\csrc\Module.cpp,THPModule_setUserEnabledCuDNN,417
F:\DLFs_dataset\pytorch\pytorch-1.12.0\torch\csrc\Module.cpp,THPModule_userEnabledMkldnn,439
F:\DLFs_dataset\pytorch\pytorch-1.12.0\torch\csrc\Module.cpp,THPModule_setUserEnabledMkldnn,431
F:\DLFs_dataset\pytorch\pytorch-1.12.0\torch\csrc\Module.cpp,THPModule_allowTF32CuDNN,390
F:\DLFs_dataset\pytorch\pytorch-1.12.0\torch\csrc\Module.cpp,THPModule_setAllowTF32CuDNN,382
F:\DLFs_dataset\pytorch\pytorch-1.12.0\torch\csrc\Module.cpp,THPModule_benchmarkCuDNN,521
F:\DLFs_dataset\pytorch\pytorch-1.12.0\torch\csrc\Module.cpp,THPModule_setBenchmarkCuDNN,507
F:\DLFs_dataset\pytorch\pytorch-1.12.0\torch\csrc\Module.cpp,THPModule_deterministicCuDNN,455
F:\DLFs_dataset\pytorch\pytorch-1.12.0\torch\csrc\Module.cpp,THPModule_setDeterministicCuDNN,445
F:\DLFs_dataset\pytorch\pytorch-1.12.0\torch\csrc\Module.cpp,THPModule_deterministicAlgorithms,475
F:\DLFs_dataset\pytorch\pytorch-1.12.0\torch\csrc\Module.cpp,THPModule_deterministicAlgorithmsWarnOnly,483
F:\DLFs_dataset\pytorch\pytorch-1.12.0\torch\csrc\Module.cpp,THPModule_setDeterministicAlgorithms,461
