path,fun_name,lineno
F:\DLFs_dataset\pytorch\pytorch-1.13.0\functorch\csrc\dim\dim.cpp,create_dim,1463
F:\DLFs_dataset\pytorch\pytorch-1.13.0\functorch\csrc\dim\dim.cpp,create_dimlist,1471
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Device.cpp,THPDevice_reduce,144
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Dtype.cpp,THPDtype_reduce,51
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\MemoryFormat.cpp,THPMemoryFormat_reduce,31
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_addDocStr,245
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_hasDistributed,368
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_setDefaultTensorType,231
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_setDefaultDtype,238
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_inferSize,310
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_userEnabledFlashSDP,495
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_setSDPUseFlash,486
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_userEnabledMathSDP,510
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_setSDPUseMath,501
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_userEnabledCuDNN,526
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_setUserEnabledCuDNN,516
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_userEnabledMkldnn,543
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_setUserEnabledMkldnn,533
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_allowTF32CuDNN,454
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_setAllowTF32CuDNN,444
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_benchmarkCuDNN,630
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_setBenchmarkCuDNN,620
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_deterministicCuDNN,562
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_setDeterministicCuDNN,550
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_deterministicAlgorithms,585
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_deterministicAlgorithmsWarnOnly,594
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_setDeterministicAlgorithms,569
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_warnAlways,613
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_setWarnAlways,603
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_allowTF32CuBLAS,647
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_setAllowTF32CuBLAS,637
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_float32MatmulPrecision,474
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_setFloat32MatmulPrecision,461
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_allowFP16ReductionCuBLAS,666
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_setAllowFP16ReductionCuBLAS,654
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_toDLPack,415
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_fromDLPack,423
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THModule_getCppBacktrace,431
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_setFlushDenormal,675
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_getDefaultDtype,687
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_getDefaultDevice,696
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_qEngine,717
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_setQEngine,704
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_supportedQEngines,721
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_isEnabledXNNPACK,735
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_willEngineExecuteNode,742
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_setDefaultMobileCPUAllocator,785
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp,THPModule_unsetDefaultMobileCPUAllocator,794
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\QScheme.cpp,THPQScheme_reduce,25
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\StorageMethods.cpp,THPStorage_writeFile,356
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\StorageMethods.cpp,THPStorage_newWithFile,384
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\StorageMethods.cpp,THPStorage__setCdata,471
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\StorageSharing.cpp,THPStorage_newWithWeakPtr,576
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\StorageSharing.cpp,THPStorage_freeWeakRef,589
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\StorageSharing.cpp,THPStorage_expired,603
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\StorageSharing.cpp,THPStorage_sharedFd,612
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\StorageSharing.cpp,THPStorage_isShared,626
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\autograd\python_engine.cpp,THPEngine_run_backward,168
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\autograd\python_engine.cpp,THPEngine_queue_callback,357
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\autograd\python_engine.cpp,THPEngine_is_checkpoint_valid,375
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\autograd\python_function.cpp,THPFunction_name,798
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\autograd\python_function.cpp,THPFunction_maybe_clear_saved_tensors,812
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\autograd\python_function.cpp,THPFunction_apply,824
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\autograd\python_function.cpp,THPFunction__register_hook_dict,910
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\autograd\python_function.cpp,THPFunction_register_hook,932
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\autograd\python_function.cpp,THPFunction_register_prehook,947
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\cuda\Module.cpp,THCPModule_setDevice_wrap,73
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\cuda\Module.cpp,THCPModule_getDevice_wrap,85
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\cuda\Module.cpp,THCPModule_getDeviceCount_wrap,120
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\cuda\Module.cpp,THCPModule_canDeviceAccessPeer_wrap,94
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\cuda\Module.cpp,THCPModule_getArchFlags,127
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\cuda\Module.cpp,THCPModule_getCurrentStream_wrap,145
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\cuda\Module.cpp,THCPModule_getCurrentStream_raw,157
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\cuda\Module.cpp,THCPModule_getDefaultStream_wrap,168
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\cuda\Module.cpp,THCPModule_getCurrentBlasHandle_wrap,800
