path,c_class_name,py_class_name,lineno
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,ObserverBase,Observer,366
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,DLPackWrapper,DLPackTensorCPU,441
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,BackgroundPlan,BackgroundPlan,637
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,Transaction,Transaction,671
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,Cursor,Cursor,674
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,DB,DB,686
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,Caffe2BackendRep,Caffe2BackenRep,776
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state_gpu.cc,DLPackWrapper,DLPackTensorCUDA,133
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state_hip.cc,DLPackWrapper,DLPackTensorHIP,56
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\quantization\server\pybind.cc,TensorQuantizationParams,QueryTensorQparam,245
path,c_fun_name,py_fun_name,lineno
F:\DLFs_dataset\pytorch\pytorch-1.6.0\benchmarks\operator_benchmark\pt_extension\extension.cpp,consume,_consume,19.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,lambda expression,on_module_exit,1104.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,lambda expression,create_child_workspace,1110.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,lambda expression,local_blobs,1171.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,lambda expression,delete_net,1307.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,lambda expression,transform_addNNPACK,1823.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state_hip.cc,HipVersion,get_hip_version,31.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state_hip.cc,miopenCompiledVersion,get_miopen_version,32.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\quantization\server\pybind.cc,lambda expression,ClearNetObservers,23.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\quantization\server\pybind.cc,lambda expression,DumpHistogramFile,64.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\quantization\server\pybind.cc,lambda expression,AddHistogramObserver,73.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\quantization\server\pybind.cc,lambda expression,ChooseQuantizationParams,138.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\quantization\server\pybind.cc,lambda expression,RegisterQuantizationParams,167.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\quantization\server\pybind.cc,lambda expression,RegisterQuantizationParamsWithHistogram,183.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\quantization\server\pybind.cc,lambda expression,AddRegisterQuantizationParamsWithHistogramObserver,200.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\quantization\server\pybind.cc,lambda expression,AddScaleZeroOffsetArgumentsWithHistogram,227.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\quantization\server\pybind.cc,lambda expression,get_fakefp16_mapping,271.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\quantization\server\pybind.cc,lambda expression,ObserveFp16FCPackedWeights,319.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\quantization\server\pybind.cc,lambda expression,ObserveInt8FCPackedWeights,364.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\test\cpp_extensions\cpp_c10d_extension.cpp,createProcessGroupTest,createProcessGroupTest,119.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\tools\autograd\templates\python_nn_functions.cpp,THPVariable__parse_to,_parse_to,61.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\torch\csrc\Module.cpp,THPModule_hasDistributed,_has_distributed,529.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\torch\csrc\Module.cpp,THPModule_crashIfCsrcASAN,_crash_if_csrc_asan,533.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\torch\csrc\Module.cpp,THPModule_crashIfCsrcUBSAN,_crash_if_csrc_ubsan,534.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\torch\csrc\Module.cpp,THPModule_crashIfATenASAN,_crash_if_aten_asan,535.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\torch\csrc\cuda\Module.cpp,THCPModule_isInBadFork,_cuda_isInBadFork,510.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\torch\csrc\cuda\Stream.cpp,THCPStream_priority_range,priority_range,121.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\torch\csrc\generic\StorageMethods.cpp,PyCFunction,_set_cdata,345.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\torch\csrc\generic\StorageSharing.cpp,PyCFunction,_get_shared_fd,548.0
