c_path,module_name,py_fun_name,c_fun_name,lineno,lambda_len
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\mpi_python.cc,mpi_utils,Broadcast,lambda expression,33.0,290.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,get_gradient_defs,lambda expression,671.0,414.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,set_engine_pref,lambda expression,1084.0,120.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,set_op_engine_pref,lambda expression,1090.0,111.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,op_registry_key,lambda expression,1097.0,102.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,global_init,lambda expression,1103.0,193.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,registered_operators,lambda expression,1113.0,131.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,create_child_workspace,lambda expression,1129.0,214.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,switch_workspace,lambda expression,1141.0,180.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,reset_workspace,lambda expression,1152.0,259.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,workspaces,lambda expression,1173.0,88.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,nearby_opnames,lambda expression,1180.0,119.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,fill_random_network_inputs,lambda expression,1202.0,309.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,create_net,lambda expression,1215.0,283.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,run_net,lambda expression,1232.0,273.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,add_observer_to_net,lambda expression,1248.0,777.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,remove_observer_from_net,lambda expression,1280.0,224.0
