call_path,py_component,c_component,c_path
F:\python_workplace\tensorflow-master\tensorflow\core\function\trace_type\serialization.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\core\function\trace_type\serialization.py,Unpack,lambda expression,F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc
F:\python_workplace\tensorflow-master\tensorflow\python\framework\kernels.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\client\timeline_test.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\profiler\profiler_wrapper_test.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\tpu\training_loop.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\compiler\tensorrt\test\lru_cache_test.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\distribute\parameter_server_strategy.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\eager\profiler_client.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\eager\executor.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\kernel_tests\proto\descriptor_source_test_base.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\kernel_tests\proto\descriptor_source_test_base.py,add,lambda expression,F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\math_ops.cc
F:\python_workplace\tensorflow-master\tensorflow\python\training\checkpoint_utils.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\training\checkpoint_utils.py,get,lambda expression,F:\python_workplace\tensorflow-master\tensorflow\python\framework\op_def_registry.cc
F:\python_workplace\tensorflow-master\tensorflow\python\training\checkpoint_utils.py,add,lambda expression,F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\math_ops.cc
F:\python_workplace\tensorflow-master\tensorflow\python\autograph\pyct\error_utils_test.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\kernel_tests\math_ops\division_past_test.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\kernel_tests\math_ops\division_past_test.py,check,lambda expression,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\python\mlir_wrapper\filecheck_wrapper.cc
F:\python_workplace\tensorflow-master\tensorflow\lite\python\wrap_toco.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\saved_model\function_deserialization.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\saved_model\function_deserialization.py,add,lambda expression,F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\math_ops.cc
F:\python_workplace\tensorflow-master\tensorflow\python\tf2.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\tpu\tpu_test_wrapper.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\framework\subscribe_test.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\framework\subscribe_test.py,add,lambda expression,F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\math_ops.cc
F:\python_workplace\tensorflow-master\tensorflow\python\framework\test_util.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\framework\test_util.py,get,lambda expression,F:\python_workplace\tensorflow-master\tensorflow\python\framework\op_def_registry.cc
F:\python_workplace\tensorflow-master\tensorflow\python\framework\test_util.py,add,lambda expression,F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\math_ops.cc
F:\python_workplace\tensorflow-master\tensorflow\python\saved_model\pywrap_saved_model_fingerprinting_test.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\framework\memory_checker.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\nn_ops.py,all calls is excessive,,
F:\python_workplace\tensorflow-master\tensorflow\lite\tools\signature\signature_def_utils_test.py,all calls is excessive,,
