path,c_class_name,py_class_name,lineno
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla.cc,CompiledMemoryStats,CompiledMemoryStats,403
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla.cc,PjRtDeviceTopology,DeviceTopology,715
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla.cc,PjRtExecutable,Executable,720
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla.cc,PyToken,Token,474
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla.cc,PyShardedToken,ShardedToken,476
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla.cc,PreemptionSyncManager,PreemptionSyncManager,498
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla.cc,DistributedRuntimeService,DistributedRuntimeService,518
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla.cc,DistributedRuntimeClient,DistributedRuntimeClient,524
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,PyTpuBuffer,PyTpuBuffer,168
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,PyTpuExecutable,TpuExecutable,222
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,TpuDevice,TpuDevice,253
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,PyTpuToken,Token,216
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,PyShardedTpuToken,ShardedToken,218
F:\python_workplace\tensorflow-master\tensorflow\lite\python\interpreter_wrapper\interpreter_wrapper_pybind11.cc,InterpreterWrapper,InterpreterWrapper,96
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_Executor,TFE_Executor,624
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_ContextOptions,TFE_ContextOptions,625
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringCounter0,TFE_MonitoringCounter0,627
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringCounter1,TFE_MonitoringCounter1,629
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringCounter2,TFE_MonitoringCounter2,631
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringStringGauge0,TFE_MonitoringStringGauge0,633
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringStringGauge1,TFE_MonitoringStringGauge1,635
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringStringGauge2,TFE_MonitoringStringGauge2,637
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringStringGauge3,TFE_MonitoringStringGauge3,639
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringStringGauge4,TFE_MonitoringStringGauge4,641
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringIntGauge0,TFE_MonitoringIntGauge0,643
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringIntGauge1,TFE_MonitoringIntGauge1,645
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringIntGauge2,TFE_MonitoringIntGauge2,647
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringBoolGauge0,TFE_MonitoringBoolGauge0,649
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringBoolGauge1,TFE_MonitoringBoolGauge1,651
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringBoolGauge2,TFE_MonitoringBoolGauge2,653
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringCounterCell,TFE_MonitoringCounterCell,655
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringIntGaugeCell,TFE_MonitoringIntGaugeCell,657
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringStringGaugeCell,TFE_MonitoringStringGaugeCell,659
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringBoolGaugeCell,TFE_MonitoringBoolGaugeCell,661
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringSamplerCell,TFE_MonitoringSamplerCell,663
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringBuckets,TFE_MonitoringBuckets,665
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringSampler0,TFE_MonitoringSampler0,667
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringSampler1,TFE_MonitoringSampler1,669
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TFE_MonitoringSampler2,TFE_MonitoringSampler2,671
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,CancellationManager,TFE_CancellationManager,673
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TF_DeviceList,TF_DeviceList,676
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,TF_Function,TF_Function,677
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,StringBuffer,StringBuffer,292
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,TF_Input,TF_Input,370
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,TF_Operation,TF_Operation,304
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,TF_ImportGraphDefOptions,TF_ImportGraphDefOptions,375
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,TF_ImportGraphDefResults,TF_ImportGraphDefResults,377
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,TF_DeprecatedSession,TF_DeprecatedSession,379
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,TF_Session,TF_Session,381
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,TF_OperationDescription,TF_OperationDescription,382
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,TF_Library,TF_Library,384
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,TF_SessionOptions,TF_SessionOptions,385
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,TF_Buffer,TF_Buffer,386
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,TF_ApiDefMap,TF_ApiDefMap,387
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,TF_Server,TF_Server,388
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,TF_Status,TF_Status,389
F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\server_lib_wrapper.cc,DispatchGrpcDataServer,DispatchGrpcDataServer,42
F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\server_lib_wrapper.cc,WorkerGrpcDataServer,WorkerGrpcDataServer,67
F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\server_lib_wrapper.cc,SnapshotTaskProgressWrapper,SnapshotTaskProgressWrapper,159
F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\server_lib_wrapper.cc,SnapshotStreamInfoWrapper,SnapshotStreamInfoWrapper,174
F:\python_workplace\tensorflow-master\tensorflow\python\framework\python_api_info_wrapper.cc,InferredAttributes,InferredAttributes,71
F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\unified_api.cc,AbstractContext,AbstractContext,116
F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\unified_api.cc,AbstractOperation,AbstractOperation,186
F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\unified_api.cc,AbstractTensorHandle,AbstractTensorHandle,228
F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\unified_api.cc,ImmediateExecutionContext,ImmediateExecutionContext,181
F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\unified_api.cc,AbstractFunction,AbstractFunction,260
F:\python_workplace\tensorflow-master\tensorflow\python\grappler\cluster_wrapper.cc,Cluster,tensorflow::grappler::Cluster,74
F:\python_workplace\tensorflow-master\tensorflow\python\grappler\item_wrapper.cc,GrapplerItem,tensorflow::grappler::GrapplerItem,125
F:\python_workplace\tensorflow-master\tensorflow\python\lib\io\file_io_wrapper.cc,PyTransactionToken,TransactionToken,51
F:\python_workplace\tensorflow-master\tensorflow\python\lib\io\file_io_wrapper.cc,FileStatistics,FileStatistics,216
F:\python_workplace\tensorflow-master\tensorflow\python\lib\io\record_io_wrapper.cc,ZlibCompressionOptions,ZlibCompressionOptions,304
F:\python_workplace\tensorflow-master\tensorflow\python\util\stat_summarizer_wrapper.cc,StatSummarizer,StatSummarizer,30
F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\python\mlir_wrapper\basic_classes.cc,MLIRContext,MLIRContext,25
F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\python\mlir_wrapper\basic_classes.cc,UnknownLoc,UnknownLoc,29
F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\python\mlir_wrapper\basic_classes.cc,Region,Region,34
F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\python\mlir_wrapper\basic_classes.cc,iterator,Block_Iterator,41
F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\python\mlir_wrapper\basic_classes.cc,Block,Block,42
F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\python\mlir_wrapper\basic_classes.cc,OpResult,OpResult,51
F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\python\mlir_wrapper\basic_classes.cc,BlockArgument,BlockArgument,52
