path,class_name,lineno
F:\DLFs_dataset\tensorflow\tensorflow-2.10.0\tensorflow\compiler\xla\python\xla.cc,PjRtDevice,121
F:\DLFs_dataset\tensorflow\tensorflow-2.10.0\tensorflow\compiler\xla\python\xla.cc,PyClient,197
F:\DLFs_dataset\tensorflow\tensorflow-2.10.0\tensorflow\compiler\xla\python\xla.cc,PyExecutable,356
F:\DLFs_dataset\tensorflow\tensorflow-2.10.0\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,PyTpuClient,36
F:\DLFs_dataset\tensorflow\tensorflow-2.10.0\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,PyTpuBuffer,168
F:\DLFs_dataset\tensorflow\tensorflow-2.10.0\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,PyTpuExecutable,227
F:\DLFs_dataset\tensorflow\tensorflow-2.10.0\tensorflow\lite\python\interpreter_wrapper\interpreter_wrapper_pybind11.cc,InterpreterWrapper,94
F:\DLFs_dataset\tensorflow\tensorflow-2.10.0\tensorflow\lite\python\optimize\calibration_wrapper_pybind11.cc,CalibrationWrapper,38
F:\DLFs_dataset\tensorflow\tensorflow-2.10.0\tensorflow\python\tfe_wrapper.cc,EagerContextThreadLocalDataWrapper,1662
F:\DLFs_dataset\tensorflow\tensorflow-2.10.0\tensorflow\python\framework\experimental\unified_api.cc,AbstractOperation,186
F:\DLFs_dataset\tensorflow\tensorflow-2.10.0\tensorflow\python\lib\io\record_io_wrapper.cc,ZlibCompressionOptions,304
