DFL,NumFilesCPy,NumCodeLinesCPy
tensorflow-2.2.0,114,42516
tensorflow-2.4.0,187,64768
tensorflow-2.5.0,215,71216
tensorflow-2.6.0,234,81478
tensorflow-2.7.0,245,91752
tensorflow-2.8.0,249,95917
tensorflow-2.9.0,265,99804
tensorflow-2.10.0,271,105755
tensorflow-2.11.0,283,119055
tensorflow-2.12.0,287,118358
pytorch-1.5.0,87,30515
pytorch-1.6.0,95,36403
pytorch-1.7.0,119,49576
pytorch-1.8.0,139,58594
pytorch-1.9.0,150,86173
pytorch-1.10.0,142,56732
pytorch-1.11.0,163,81934
pytorch-1.12.0,162,94730
pytorch-1.13.0,169,84413
pytorch-2.0.1,187,96171
mindspore-1.0.0,65,29061
mindspore-1.2.0,75,36287
mindspore-1.3.0,102,53289
mindspore-1.4.0,103,54301
mindspore-1.5.0,110,62211
mindspore-1.6.0,124,81737
mindspore-1.7.0,125,94078
mindspore-1.8.1,140,115192
mindspore-1.9.0,165,130547
mindspore-1.10.1,166,130971
Paddle-1.8.0,87,20763
Paddle-1.8.2,85,20569
Paddle-1.8.4,84,18646
Paddle-2.0.0,114,30412
Paddle-2.1.0,129,33172
Paddle-2.1.2,131,33922
Paddle-2.2.0,147,37581
Paddle-2.3.0,191,60680
Paddle-2.4.0,185,56530
Paddle-2.4.2,185,63928
chainer-6.0.0,29,4888
chainer-6.5.0,31,5520
chainer-6.6.0,30,5173
chainer-6.7.0,30,5173
chainer-7.1.0,22,2636
chainer-7.2.0,22,2636
chainer-7.4.0,23,3205
chainer-7.7.0,23,3232
chainer-7.8.0,23,3232
chainer-7.8.1,23,3232
