c_path,module_name,py_fun_name,c_fun_name,lineno,lambda_len
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,__set_bwd_prim_enabled,SetBwdPrimEnabled,768,
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,_is_bwd_prim_enabled,IsBwdPrimEnabled,770,
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,__set_fwd_prim_enabled,SetFwdPrimEnabled,772,
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,_is_fwd_prim_enabled,IsFwdPrimEnabled,774,
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,__set_all_prim_enabled,SetAllPrimEnabled,776,
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,_is_eager_prim_enabled,IsEagerPrimEnabled,778,
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,__set_eager_prim_enabled,SetEagerPrimEnabled,780,
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,_set_prim_target_grad_name,SetTargetGradName,782,
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,set_num_threads,SetNumThreads,784,
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,disable_signal_handler,DisableSignalHandler,786,
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,clear_gradients,lambda expression,788,114.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,cudnn_version,DnnVersion,797,
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,gpu_memory_available,lambda expression,798,92.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,nccl_version,GetNCCLVersion,807,
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,is_cuda_graph_capturing,IsCUDAGraphCapturing,810,
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,wait_device,lambda expression,827,86.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,from_dlpack,lambda expression,831,91.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,_create_loaded_parameter,lambda expression,856,113.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,save_op_version_info,lambda expression,863,208.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,set_printoptions,lambda expression,871,657.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,broadcast_shape,lambda expression,896,149.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,_append_python_callable_object_and_return_id,lambda expression,903,89.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,_get_use_default_grad_op_desc_maker_ops,lambda expression,909,63.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,_get_all_register_op_kernels,lambda expression,912,1085.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,_get_registered_phi_kernels,lambda expression,968,149.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,clear_kernel_factory,lambda expression,1024,53.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,clear_device_manager,lambda expression,1026,70.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,_set_eager_deletion_mode,SetEagerDeletionMode,1035,
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,_set_fuse_parameter_group_size,SetFuseParameterGroupsSize,1037,
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,_set_fuse_parameter_memory_size,SetFuseParameterMemorySize,1039,
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,_set_paddle_lib_path,SetPaddleLibPath,1045,
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,set_current_thread_name,SetCurrentThreadName,1047,
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,_promote_types_if_complex_exists,PromoteTypesIfComplexExists,1049,
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,Scope,lambda expression,1307,81.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,get_all_op_protos,lambda expression,1324,297.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,get_all_op_names,lambda expression,1340,558.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,get_op_attrs_default_value,lambda expression,1378,133.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,get_op_extra_attrs,lambda expression,1391,127.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,get_attrtibute_type,lambda expression,1397,138.0
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,_add_skip_comp_ops,AddSkipCompOps,1407,
F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc,libpaddle,_remove_skip_comp_ops,RemoveSkipCompOps,1408,
