c_path,lineno,module_name,c_class_name,py_class_name
F:\DLFs_dataset\chainer\chainer-6.6.0\chainerx_cc\chainerx\python\array.cc,132,_core,ArrayBody,ndarray
F:\DLFs_dataset\chainer\chainer-6.6.0\chainerx_cc\chainerx\python\backend.cc,15,_core,Backend,Backend
F:\DLFs_dataset\chainer\chainer-6.6.0\chainerx_cc\chainerx\python\context.cc,49,_core,Context,Context
F:\DLFs_dataset\chainer\chainer-6.6.0\chainerx_cc\chainerx\python\context.cc,90,_core,PyContextScope,ContextScope
F:\DLFs_dataset\chainer\chainer-6.6.0\chainerx_cc\chainerx\python\device.cc,57,_core,Device,Device
F:\DLFs_dataset\chainer\chainer-6.6.0\chainerx_cc\chainerx\python\device.cc,81,_core,PyDeviceScope,DeviceScope
F:\DLFs_dataset\chainer\chainer-6.6.0\chainerx_cc\chainerx\python\graph.cc,49,_core,AnyGraph,AnyGraph
F:\DLFs_dataset\chainer\chainer-6.6.0\chainerx_cc\chainerx\python\graph.cc,54,_core,BackpropId,BackpropId
F:\DLFs_dataset\chainer\chainer-6.6.0\chainerx_cc\chainerx\python\graph.cc,65,_core,PyBackpropScope,BackpropScope
F:\DLFs_dataset\chainer\chainer-6.6.0\chainerx_cc\chainerx\python\scalar.cc,22,_core,Scalar,_Scalar
