module_name,module_asname,c_file_path,c_lineno,python_file_path,py_lineno
_c_lite_wrapper,,F:\python_workplace\mindspore-master\mindspore\lite\python\src\pybind_module.cc,29,F:\python_workplace\mindspore-master\mindspore\lite\python\api\context.py,22
_c_lite_wrapper,,F:\python_workplace\mindspore-master\mindspore\lite\python\src\pybind_module.cc,29,F:\python_workplace\mindspore-master\mindspore\lite\python\api\converter.py,23
_c_lite_wrapper,,F:\python_workplace\mindspore-master\mindspore\lite\python\src\pybind_module.cc,29,F:\python_workplace\mindspore-master\mindspore\lite\python\api\model.py,24
_c_lite_wrapper,,F:\python_workplace\mindspore-master\mindspore\lite\python\src\pybind_module.cc,29,F:\python_workplace\mindspore-master\mindspore\lite\python\api\tensor.py,23
_c_expression,,F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,139,F:\python_workplace\mindspore-master\mindspore\python\mindspore\context.py,29
_c_expression,,F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,139,F:\python_workplace\mindspore-master\mindspore\python\mindspore\_checkparam.py,31
_c_expression,,F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,139,F:\python_workplace\mindspore-master\mindspore\python\mindspore\common\api.py,39
_c_expression,,F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,139,F:\python_workplace\mindspore-master\mindspore\python\mindspore\common\dtype.py,24
_c_expression,,F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,139,F:\python_workplace\mindspore-master\mindspore\python\mindspore\common\dump.py,20
_c_expression,,F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,139,F:\python_workplace\mindspore-master\mindspore\python\mindspore\common\initializer.py,26
_c_expression,,F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,139,F:\python_workplace\mindspore-master\mindspore\python\mindspore\common\mutable.py,19
_c_expression,,F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,139,F:\python_workplace\mindspore-master\mindspore\python\mindspore\common\parameter.py,26
_c_expression,,F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,139,F:\python_workplace\mindspore-master\mindspore\python\mindspore\common\parameter.py,35
_c_expression,,F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,139,F:\python_workplace\mindspore-master\mindspore\python\mindspore\common\sparse_tensor.py,28
_c_expression,,F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,139,F:\python_workplace\mindspore-master\mindspore\python\mindspore\common\sparse_tensor.py,27
_c_expression,,F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,139,F:\python_workplace\mindspore-master\mindspore\python\mindspore\common\sparse_tensor.py,29
_c_expression,,F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,139,F:\python_workplace\mindspore-master\mindspore\python\mindspore\common\sparse_tensor.py,26
_c_expression,,F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,139,F:\python_workplace\mindspore-master\mindspore\python\mindspore\common\tensor.py,33
_c_expression,,F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,139,F:\python_workplace\mindspore-master\mindspore\python\mindspore\common\_monad.py,17
_c_expression,,F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,139,F:\python_workplace\mindspore-master\mindspore\python\mindspore\common\_stub_tensor.py,21
_c_expression,,F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,139,F:\python_workplace\mindspore-master\mindspore\python\mindspore\communication\management.py,24
_c_expression,,F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,139,F:\python_workplace\mindspore-master\mindspore\python\mindspore\communication\_comm_helper.py,23
_c_expression,,F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,139,F:\python_workplace\mindspore-master\mindspore\python\mindspore\communication\_hccl_management.py,24
_c_dataengine,cde,F:\python_workplace\mindspore-master\mindspore\ccsrc\minddata\dataset\api\python\pybind_register.cc,28,F:\python_workplace\mindspore-master\mindspore\python\mindspore\dataset\audio\transforms.py,24
