c_path,module_name,py_fun_name,c_fun_name,lineno,lambda_len
F:\python_workplace\mindspore-master\mindspore\ccsrc\minddata\mindrecord\common\shard_pybind.cc,_c_mindrecord,get_max_thread_num,GetMaxThreadNum,316,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,reset_op_id,ResetOpId,200,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,reset_op_id_with_offset,ResetOpIdWithOffset,201,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,init_hccl,InitHccl,202,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,finalize_hccl,FinalizeHccl,203,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,get_hccl_rank_id,GetHcclRankId,204,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,get_hccl_rank_size,GetHcclRankSize,205,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,verify_inputs_signature,VerifyInputSignature,206,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,init_exec_dataset,InitExecDataset,207,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,_set_dataset_mode_config,SetDatasetModeConfig,210,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,init_pipeline,InitPipeline,211,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,load_mindir,LoadMindIR,212,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,dynamic_obfuscate_mindir,DynamicObfuscateMindIR,215,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,init_cluster,Initialize,219,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,set_cluster_exit_with_exception,set_cluster_exit_with_exception,220,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,_encrypt,PyEncrypt,561,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,_decrypt,PyDecrypt,562,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,_is_cipher_file,PyIsCipherFile,563,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,_export_bprop_mindir,ExportBpropToMindir,581,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,_check_bprop_mindir,CheckMindir,583,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,_ms_memory_recycle,MemoryRecycle,586,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pipeline\jit\init.cc,_c_expression,_bind_device_ctx,BindDeviceCtx,587,
F:\python_workplace\mindspore-master\mindspore\lite\python\src\pybind_module.cc,_c_lite_wrapper,create_tensor,create_tensor,38,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\initializer\init_random.cc,_c_expression,_random_uniform,RandomUniform,65,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\initializer\init_random.cc,_c_expression,_random_normal,RandomNormal,66,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\initializer\init_random.cc,_c_expression,_truncated_normal,TruncatedNormal,67,
F:\python_workplace\mindspore-master\mindspore\ccsrc\pybind_api\ir\func_graph_py.cc,_c_expression,update_func_graph_hyper_params,UpdateFuncGraphHyperParams,78,
