c_path,lineno,module_name,c_class_name,py_class_name
F:\DLFs_dataset\mindspore\mindspore-1.7.0\mindspore\ccsrc\debug\debugger\offline_debug\mi_pybind_register.cc,24,_mindspore_offline_debug,DbgServices,DbgServices
F:\DLFs_dataset\mindspore\mindspore-1.7.0\mindspore\ccsrc\debug\debugger\offline_debug\mi_pybind_register.cc,36,_mindspore_offline_debug,parameter_t,parameter
F:\DLFs_dataset\mindspore\mindspore-1.7.0\mindspore\ccsrc\debug\debugger\offline_debug\mi_pybind_register.cc,44,_mindspore_offline_debug,watchpoint_hit_t,watchpoint_hit
F:\DLFs_dataset\mindspore\mindspore-1.7.0\mindspore\ccsrc\debug\debugger\offline_debug\mi_pybind_register.cc,55,_mindspore_offline_debug,tensor_info_t,tensor_info
F:\DLFs_dataset\mindspore\mindspore-1.7.0\mindspore\ccsrc\debug\debugger\offline_debug\mi_pybind_register.cc,64,_mindspore_offline_debug,tensor_data_t,tensor_data
F:\DLFs_dataset\mindspore\mindspore-1.7.0\mindspore\ccsrc\debug\debugger\offline_debug\mi_pybind_register.cc,71,_mindspore_offline_debug,TensorBaseData,TensorBaseData
F:\DLFs_dataset\mindspore\mindspore-1.7.0\mindspore\ccsrc\debug\debugger\offline_debug\mi_pybind_register.cc,77,_mindspore_offline_debug,TensorStatData,TensorStatData
F:\DLFs_dataset\mindspore\mindspore-1.7.0\mindspore\ccsrc\minddata\mindrecord\common\shard_pybind.cc,46,_c_mindrecord,Schema,Schema
F:\DLFs_dataset\mindspore\mindspore-1.7.0\mindspore\ccsrc\minddata\mindrecord\common\shard_pybind.cc,63,_c_mindrecord,Statistics,Statistics
F:\DLFs_dataset\mindspore\mindspore-1.7.0\mindspore\ccsrc\minddata\mindrecord\common\shard_pybind.cc,79,_c_mindrecord,ShardHeader,ShardHeader
F:\DLFs_dataset\mindspore\mindspore-1.7.0\mindspore\ccsrc\minddata\mindrecord\common\shard_pybind.cc,105,_c_mindrecord,ShardWriter,ShardWriter
F:\DLFs_dataset\mindspore\mindspore-1.7.0\mindspore\ccsrc\minddata\mindrecord\common\shard_pybind.cc,155,_c_mindrecord,ShardReader,ShardReader
F:\DLFs_dataset\mindspore\mindspore-1.7.0\mindspore\ccsrc\minddata\mindrecord\common\shard_pybind.cc,189,_c_mindrecord,ShardIndexGenerator,ShardIndexGenerator
F:\DLFs_dataset\mindspore\mindspore-1.7.0\mindspore\ccsrc\minddata\mindrecord\common\shard_pybind.cc,203,_c_mindrecord,ShardSegment,ShardSegment
F:\DLFs_dataset\mindspore\mindspore-1.7.0\mindspore\ccsrc\pipeline\jit\init.cc,78,_c_expression,GraphExecutorPy,GraphExecutor_
F:\DLFs_dataset\mindspore\mindspore-1.7.0\mindspore\ccsrc\pipeline\jit\init.cc,141,_c_expression,MpiConfig,MpiConfig
F:\DLFs_dataset\mindspore\mindspore-1.7.0\mindspore\ccsrc\pipeline\jit\init.cc,146,_c_expression,ParallelContext,AutoParallelContext
F:\DLFs_dataset\mindspore\mindspore-1.7.0\mindspore\ccsrc\pipeline\jit\init.cc,242,_c_expression,CostModelContext,CostModelContext
