module_name,module_asname,c_file_path,c_lineno,python_file_path,py_lineno
benchmark_cpp_extension,,F:\python_workplace\pytorch-master\benchmarks\operator_benchmark\pt_extension\extension.cpp,25,F:\python_workplace\pytorch-master\benchmarks\operator_benchmark\benchmark_pytorch.py,4
benchmark_cpp_extension,,F:\python_workplace\pytorch-master\benchmarks\operator_benchmark\pt_extension\extension.cpp,25,F:\python_workplace\pytorch-master\benchmarks\operator_benchmark\pt_extension\cpp_extension_test.py,3
caffe2_pybind11_state_hip,,F:\python_workplace\pytorch-master\caffe2\python\pybind_state_hip.cc,86,F:\python_workplace\pytorch-master\caffe2\python\_import_c_extension.py,23
caffe2_pybind11_state_gpu,,F:\python_workplace\pytorch-master\caffe2\python\pybind_state_gpu.cc,165,F:\python_workplace\pytorch-master\caffe2\python\_import_c_extension.py,17
caffe2_pybind11_state,,F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,1969,F:\python_workplace\pytorch-master\caffe2\python\_import_c_extension.py,37
dnnlowp_pybind11,,F:\python_workplace\pytorch-master\caffe2\quantization\server\pybind.cc,20,F:\python_workplace\pytorch-master\caffe2\quantization\server\dnnlowp_test_utils.py,7
dnnlowp_pybind11,,F:\python_workplace\pytorch-master\caffe2\quantization\server\pybind.cc,20,F:\python_workplace\pytorch-master\caffe2\quantization\server\int8_gen_quant_params_min_max_test.py,22
dnnlowp_pybind11,,F:\python_workplace\pytorch-master\caffe2\quantization\server\pybind.cc,20,F:\python_workplace\pytorch-master\caffe2\quantization\server\int8_gen_quant_params_test.py,22
dnnlowp_pybind11,,F:\python_workplace\pytorch-master\caffe2\quantization\server\pybind.cc,20,F:\python_workplace\pytorch-master\caffe2\quantization\server\int8_quant_scheme_blob_fill_test.py,21
dnnlowp_pybind11,,F:\python_workplace\pytorch-master\caffe2\quantization\server\pybind.cc,20,F:\python_workplace\pytorch-master\caffe2\quantization\server\observer_test.py,5
dnnlowp_pybind11,,F:\python_workplace\pytorch-master\caffe2\quantization\server\pybind.cc,20,F:\python_workplace\pytorch-master\caffe2\quantization\server\quantize_dnnlowp_op_test.py,7
