c_path,lineno,module_name,c_class_name,py_class_name
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,346,caffe2_pybind11_state,NetBase,Net
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,358,caffe2_pybind11_state,ObserverBase,Observer
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,379,caffe2_pybind11_state,Blob,Blob
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,433,caffe2_pybind11_state,DLPackWrapper,DLPackTensorCPU
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,471,caffe2_pybind11_state,TensorCPU,TensorCPU
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,534,caffe2_pybind11_state,Workspace,Workspace
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,629,caffe2_pybind11_state,BackgroundPlan,BackgroundPlan
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,635,caffe2_pybind11_state,GradientWrapper,GradientWrapper
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,664,caffe2_pybind11_state,Transaction,Transaction
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,667,caffe2_pybind11_state,Cursor,Cursor
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,679,caffe2_pybind11_state,DB,DB
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,726,caffe2_pybind11_state,Argument,Argument
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,731,caffe2_pybind11_state,Caffe2Ops,Caffe2Ops
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,750,caffe2_pybind11_state,DummyName,DummyName
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,769,caffe2_pybind11_state,Caffe2BackendRep,Caffe2BackenRep
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,871,caffe2_pybind11_state,Caffe2Backend,Caffe2Backend
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,941,caffe2_pybind11_state,Predictor,Predictor
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,689,caffe2_pybind11_state,OpSchema,OpSchema
F:\python_workplace\pytorch-master\caffe2\python\pybind_state_gpu.cc,133,caffe2_pybind11_state_gpu,DLPackWrapper,DLPackTensorCUDA
F:\python_workplace\pytorch-master\caffe2\python\pybind_state_hip.cc,54,caffe2_pybind11_state_hip,DLPackWrapper,DLPackTensorHIP
F:\python_workplace\pytorch-master\caffe2\quantization\server\pybind.cc,257,dnnlowp_pybind11,TensorQuantizationParams,QueryTensorQparam
