c_path,module_name,py_fun_name,c_fun_name,lineno,lambda_len
F:\python_workplace\pytorch-master\benchmarks\operator_benchmark\pt_extension\extension.cpp,benchmark_cpp_extension,_consume,consume,21,
F:\python_workplace\pytorch-master\benchmarks\operator_benchmark\pt_extension\extension.cpp,benchmark_cpp_extension,_consume.list,consume_list,22,
F:\python_workplace\pytorch-master\benchmarks\operator_benchmark\pt_extension\extension.cpp,benchmark_cpp_extension,_consume,consume,26,
F:\python_workplace\pytorch-master\benchmarks\operator_benchmark\pt_extension\extension.cpp,benchmark_cpp_extension,_consume_list,consume_list,27,
F:\python_workplace\pytorch-master\caffe2\python\mpi_python.cc,mpi_utils,SetupPeers,MPISetupPeers,12,
F:\python_workplace\pytorch-master\caffe2\python\mpi_python.cc,mpi_utils,CommSize,lambda expression,18,43.0
F:\python_workplace\pytorch-master\caffe2\python\mpi_python.cc,mpi_utils,CommRank,lambda expression,22,43.0
F:\python_workplace\pytorch-master\caffe2\python\mpi_python.cc,mpi_utils,Finalize,lambda expression,26,14.0
F:\python_workplace\pytorch-master\caffe2\python\mpi_python.cc,mpi_utils,Broadcast,lambda expression,33,290.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,get_gradient_defs,lambda expression,644,414.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,create_db,CreateDB,683,
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,registered_dbs,lambda expression,684,45.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,get_build_options,lambda expression,1022,27.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,set_per_op_engine_pref,lambda expression,1063,67.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,set_global_engine_pref,lambda expression,1067,69.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,set_engine_pref,lambda expression,1070,120.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,set_op_engine_pref,lambda expression,1076,111.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,op_registry_key,lambda expression,1083,102.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,global_init,lambda expression,1089,193.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,registered_operators,lambda expression,1100,131.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,on_module_exit,lambda expression,1111,38.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,switch_workspace,lambda expression,1114,59.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,create_child_workspace,lambda expression,1119,221.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,switch_workspace,lambda expression,1130,195.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,reset_workspace,lambda expression,1142,183.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,root_folder,lambda expression,1157,108.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,current_workspace,lambda expression,1162,48.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,workspaces,lambda expression,1165,80.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,nearby_opnames,lambda expression,1170,124.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,local_blobs,lambda expression,1181,108.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,blobs,lambda expression,1186,103.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,has_blob,lambda expression,1191,130.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,fill_random_network_inputs,lambda expression,1196,361.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,create_net,lambda expression,1210,335.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,run_net,lambda expression,1228,324.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,add_observer_to_net,lambda expression,1245,840.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,remove_observer_from_net,lambda expression,1277,287.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,clear_global_net_observer,lambda expression,1288,58.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,num_observers_on_net,lambda expression,1292,252.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,benchmark_net,lambda expression,1301,318.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,benchmark_net_once,lambda expression,1316,239.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,delete_net,lambda expression,1326,136.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,nets,lambda expression,1332,102.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,run_operator_once,lambda expression,1337,264.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,run_operator_multiple,lambda expression,1349,276.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,get_operator_cost,lambda expression,1363,552.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,run_net_once,lambda expression,1383,256.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,run_plan,lambda expression,1392,248.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,run_plan_in_background,lambda expression,1402,305.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,apply_transform,lambda expression,1414,282.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,apply_transform_if_faster,lambda expression,1428,519.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,memonger_compute_blob_recycling_for_dag,lambda expression,1457,604.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,memonger_optimize_inference_net,lambda expression,1483,203.0
F:\python_workplace\pytorch-master\caffe2\python\pybind_state.cc,caffe2_pybind11_state,infer_shapes_and_types_from_workspace,lambda expression,1501,411.0
