c_path,module_name,py_fun_name,c_fun_name,lineno,lambda_len
F:\DLFs_dataset\pytorch\pytorch-1.6.0\benchmarks\operator_benchmark\pt_extension\extension.cpp,cpp_extension,_consume,consume,19.0,
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\mpi_python.cc,mpi_utils,SetupPeers,MPISetupPeers,12.0,
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\mpi_python.cc,mpi_utils,CommSize,lambda expression,18.0,43.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\mpi_python.cc,mpi_utils,CommRank,lambda expression,22.0,43.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\mpi_python.cc,mpi_utils,Finalize,lambda expression,26.0,14.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\mpi_python.cc,mpi_utils,Broadcast,lambda expression,33.0,290.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,get_gradient_defs,lambda expression,652.0,414.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,create_db,CreateDB,690.0,
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,registered_dbs,lambda expression,691.0,45.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,get_build_options,lambda expression,1017.0,27.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,set_per_op_engine_pref,lambda expression,1058.0,67.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,set_global_engine_pref,lambda expression,1062.0,69.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,set_engine_pref,lambda expression,1065.0,120.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,set_op_engine_pref,lambda expression,1071.0,111.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,op_registry_key,lambda expression,1078.0,102.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,global_init,lambda expression,1084.0,193.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,registered_operators,lambda expression,1094.0,131.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,on_module_exit,lambda expression,1104.0,24.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,switch_workspace,lambda expression,1107.0,40.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,create_child_workspace,lambda expression,1110.0,214.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,switch_workspace,lambda expression,1122.0,180.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,reset_workspace,lambda expression,1133.0,259.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,root_folder,lambda expression,1149.0,56.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,current_workspace,lambda expression,1153.0,31.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,workspaces,lambda expression,1154.0,88.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,nearby_opnames,lambda expression,1161.0,119.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,local_blobs,lambda expression,1171.0,56.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,blobs,lambda expression,1175.0,51.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,has_blob,lambda expression,1179.0,78.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,fill_random_network_inputs,lambda expression,1183.0,309.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,create_net,lambda expression,1196.0,283.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,run_net,lambda expression,1213.0,273.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,add_observer_to_net,lambda expression,1229.0,777.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,remove_observer_from_net,lambda expression,1261.0,224.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,clear_global_net_observer,lambda expression,1272.0,58.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,num_observers_on_net,lambda expression,1276.0,201.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,benchmark_net,lambda expression,1284.0,266.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,benchmark_net_once,lambda expression,1298.0,187.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,delete_net,lambda expression,1307.0,84.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,nets,lambda expression,1312.0,28.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,run_operator_once,lambda expression,1313.0,212.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,run_operator_multiple,lambda expression,1324.0,224.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,get_operator_cost,lambda expression,1337.0,488.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,run_net_once,lambda expression,1356.0,204.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,run_plan,lambda expression,1364.0,196.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,run_plan_in_background,lambda expression,1373.0,253.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,apply_transform,lambda expression,1384.0,282.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,apply_transform_if_faster,lambda expression,1398.0,519.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,memonger_compute_blob_recycling_for_dag,lambda expression,1427.0,604.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,memonger_optimize_inference_net,lambda expression,1453.0,203.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,infer_shapes_and_types_from_workspace,lambda expression,1471.0,359.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,infer_shapes_and_types_from_map,lambda expression,1493.0,392.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,infer_shapes_and_types_from_map,lambda expression,1514.0,415.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,ssa_rewrite,lambda expression,1541.0,267.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,create_blob,lambda expression,1549.0,100.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,reset_blob,lambda expression,1554.0,106.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,fetch_blob,lambda expression,1560.0,78.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,feed_blob,lambda expression,1563.0,143.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,deserialize_blob,lambda expression,1573.0,65.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,serialize_blob,lambda expression,1576.0,142.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,deserialize_blob,lambda expression,1582.0,157.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,register_python_op,lambda expression,1592.0,297.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,register_python_gradient_op,lambda expression,1608.0,197.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,infer_op_input_output_device,lambda expression,1617.0,76.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,get_stats,lambda expression,1638.0,162.0
F:\DLFs_dataset\pytorch\pytorch-1.6.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,is_numa_enabled,lambda expression,1647.0,25.0
