c_path,lineno,module_name,c_class_name,py_class_name
F:\DLFs_dataset\pytorch\pytorch-1.9.0\caffe2\python\pybind_state.cc,396,caffe2_pybind11_state,NetBase,Net
F:\DLFs_dataset\pytorch\pytorch-1.9.0\caffe2\python\pybind_state.cc,408,caffe2_pybind11_state,ObserverBase,Observer
F:\DLFs_dataset\pytorch\pytorch-1.9.0\caffe2\python\pybind_state.cc,429,caffe2_pybind11_state,Blob,Blob
F:\DLFs_dataset\pytorch\pytorch-1.9.0\caffe2\python\pybind_state.cc,483,caffe2_pybind11_state,DLPackWrapper,DLPackTensorCPU
F:\DLFs_dataset\pytorch\pytorch-1.9.0\caffe2\python\pybind_state.cc,521,caffe2_pybind11_state,TensorCPU,TensorCPU
F:\DLFs_dataset\pytorch\pytorch-1.9.0\caffe2\python\pybind_state.cc,584,caffe2_pybind11_state,Workspace,Workspace
F:\DLFs_dataset\pytorch\pytorch-1.9.0\caffe2\python\pybind_state.cc,680,caffe2_pybind11_state,BackgroundPlan,BackgroundPlan
F:\DLFs_dataset\pytorch\pytorch-1.9.0\caffe2\python\pybind_state.cc,686,caffe2_pybind11_state,GradientWrapper,GradientWrapper
F:\DLFs_dataset\pytorch\pytorch-1.9.0\caffe2\python\pybind_state.cc,715,caffe2_pybind11_state,Transaction,Transaction
F:\DLFs_dataset\pytorch\pytorch-1.9.0\caffe2\python\pybind_state.cc,718,caffe2_pybind11_state,Cursor,Cursor
F:\DLFs_dataset\pytorch\pytorch-1.9.0\caffe2\python\pybind_state.cc,730,caffe2_pybind11_state,DB,DB
F:\DLFs_dataset\pytorch\pytorch-1.9.0\caffe2\python\pybind_state.cc,777,caffe2_pybind11_state,Argument,Argument
F:\DLFs_dataset\pytorch\pytorch-1.9.0\caffe2\python\pybind_state.cc,782,caffe2_pybind11_state,Caffe2Ops,Caffe2Ops
F:\DLFs_dataset\pytorch\pytorch-1.9.0\caffe2\python\pybind_state.cc,801,caffe2_pybind11_state,DummyName,DummyName
F:\DLFs_dataset\pytorch\pytorch-1.9.0\caffe2\python\pybind_state.cc,820,caffe2_pybind11_state,Caffe2BackendRep,Caffe2BackenRep
F:\DLFs_dataset\pytorch\pytorch-1.9.0\caffe2\python\pybind_state.cc,923,caffe2_pybind11_state,Caffe2Backend,Caffe2Backend
F:\DLFs_dataset\pytorch\pytorch-1.9.0\caffe2\python\pybind_state.cc,993,caffe2_pybind11_state,Predictor,Predictor
F:\DLFs_dataset\pytorch\pytorch-1.9.0\caffe2\python\pybind_state.cc,740,caffe2_pybind11_state,OpSchema,OpSchema
F:\DLFs_dataset\pytorch\pytorch-1.9.0\caffe2\python\pybind_state_gpu.cc,133,caffe2_pybind11_state_gpu,DLPackWrapper,DLPackTensorCUDA
F:\DLFs_dataset\pytorch\pytorch-1.9.0\caffe2\python\pybind_state_hip.cc,56,caffe2_pybind11_state_hip,DLPackWrapper,DLPackTensorHIP
F:\DLFs_dataset\pytorch\pytorch-1.9.0\caffe2\quantization\server\pybind.cc,257,dnnlowp_pybind11,TensorQuantizationParams,QueryTensorQparam
F:\DLFs_dataset\pytorch\pytorch-1.9.0\test\cpp_extensions\extension.cpp,36,TORCH_EXTENSION_NAME,MatrixMultiplier,MatrixMultiplier
F:\DLFs_dataset\pytorch\pytorch-1.9.0\test\cpp_extensions\jit_extension.cpp,16,TORCH_EXTENSION_NAME,Doubler,Doubler
