module_name,module_asname,c_file_path,c_lineno,python_file_path,py_lineno
_pywrap_tac_wrapper,,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\lite\experimental\tac\py_wrapper\tac_wrapper_pybind11.cc,24,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\lite\experimental\tac\tac.py,17
pywrap_quantize_model,quantize_model_wrapper,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\quantization\tensorflow\python\pywrap_quantize_model.cc,122,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\quantization\tensorflow\calibrator\integration_test\custom_aggregator_op_test.py,23
pywrap_quantize_model,,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\quantization\tensorflow\python\pywrap_quantize_model.cc,122,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\quantization\tensorflow\python\pywrap_quantize_model_test.py,20
pywrap_quantize_model,,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\quantization\tensorflow\python\pywrap_quantize_model.cc,122,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\quantization\tensorflow\python\quantize_model.py,26
filecheck_wrapper,fw,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\python\mlir_wrapper\filecheck_wrapper.cc,23,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\tfr\python\op_reg_gen_test.py,23
mlir_wrapper,,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\python\mlir_wrapper\mlir_wrapper.cc,31,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\tfr\python\op_reg_gen_test.py,23
tfr_wrapper,tfr,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\tfr\python\tfr_wrapper.cc,35,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\tfr\python\tfr_gen.py,27
filecheck_wrapper,fw,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\python\mlir_wrapper\filecheck_wrapper.cc,23,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\tfr\python\tfr_gen_test.py,21
mlir_wrapper,,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\python\mlir_wrapper\mlir_wrapper.cc,31,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\tfr\python\tfr_gen_test.py,21
_tfrt_fallback,,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\tfrt\jit\python_binding\tfrt_fallback.cc,132,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\tfrt\jit\python_binding\tfrt_fallback.py,20
_tf_jitrt_executor,,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\tfrt\jit\python_binding\tf_jitrt_executor.cc,278,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\tfrt\jit\python_binding\tf_jitrt.py,20
filecheck_wrapper,fw,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\python\mlir_wrapper\filecheck_wrapper.cc,23,F:\python_workplace\tensorflow-master\tensorflow\compiler\tf2xla\light_outside_compilation_test.py,16
mlir_wrapper,,F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\python\mlir_wrapper\mlir_wrapper.cc,31,F:\python_workplace\tensorflow-master\tensorflow\compiler\tf2xla\light_outside_compilation_test.py,16
_mlirHlo,,F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\mlir_hlo\bindings\python\MlirHloModule.cc,43,F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\mlir_hlo\bindings\python\mlir\dialects\mhlo.py,20
xla_extension,_xla,F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla.cc,106,F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla_client.py,26
tpu_client_extension,_tpu_client,F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,33,F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client.py,22
flags_pybind,,F:\python_workplace\tensorflow-master\tensorflow\core\config\flags_api_wrapper.cc,35,F:\python_workplace\tensorflow-master\tensorflow\core\config\flags.py,19
runtime_client_pybind,,F:\python_workplace\tensorflow-master\tensorflow\core\function\runtime_client\runtime_client_pybind.cc,28,F:\python_workplace\tensorflow-master\tensorflow\core\function\runtime_client\runtime_client.py,21
test_pass_pybind,,F:\python_workplace\tensorflow-master\tensorflow\core\function\testing\test_pass_pybind.cc,21,F:\python_workplace\tensorflow-master\tensorflow\core\function\testing\test_pass.py,19
_pywrap_dtensor_device,,F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc,89,F:\python_workplace\tensorflow-master\tensorflow\dtensor\python\dtensor_device.py,28
_pywrap_dtensor_device,,F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc,89,F:\python_workplace\tensorflow-master\tensorflow\dtensor\python\layout.py,25
_pywrap_analyzer_wrapper,_analyzer_wrapper,F:\python_workplace\tensorflow-master\tensorflow\lite\python\analyzer_wrapper\analyzer_wrapper.cc,21,F:\python_workplace\tensorflow-master\tensorflow\lite\python\analyzer.py,24
_pywrap_tensorflow_interpreter_wrapper,_interpreter_wrapper,F:\python_workplace\tensorflow-master\tensorflow\lite\python\interpreter_wrapper\interpreter_wrapper_pybind11.cc,29,F:\python_workplace\tensorflow-master\tensorflow\lite\python\interpreter.py,28
_pywrap_test_registerer,test_registerer,F:\python_workplace\tensorflow-master\tensorflow\lite\python\testdata\test_registerer_wrapper.cc,16,F:\python_workplace\tensorflow-master\tensorflow\lite\python\interpreter_test.py,33
_pywrap_test_registerer,test_registerer,F:\python_workplace\tensorflow-master\tensorflow\lite\python\testdata\test_registerer_wrapper.cc,16,F:\python_workplace\tensorflow-master\tensorflow\lite\python\lite_v2_test.py,45
_pywrap_toco_api,,F:\python_workplace\tensorflow-master\tensorflow\python\lite\toco_python_api_wrapper.cc,25,F:\python_workplace\tensorflow-master\tensorflow\lite\python\wrap_toco.py,19
_pywrap_tensorflow_lite_metrics_wrapper,,F:\python_workplace\tensorflow-master\tensorflow\lite\python\metrics\wrapper\metrics_wrapper_pybind11.cc,27,F:\python_workplace\tensorflow-master\tensorflow\lite\python\metrics\wrapper\metrics_wrapper.py,19
_pywrap_string_util,,F:\python_workplace\tensorflow-master\tensorflow\lite\testing\string_util_wrapper.cc,24,F:\python_workplace\tensorflow-master\tensorflow\lite\testing\zip_test_utils.py,31
_pywrap_toco_api,,F:\python_workplace\tensorflow-master\tensorflow\python\lite\toco_python_api_wrapper.cc,25,F:\python_workplace\tensorflow-master\tensorflow\lite\toco\python\tensorflow_wrap_toco.py,19
_pywrap_toco_api,,F:\python_workplace\tensorflow-master\tensorflow\python\lite\toco_python_api_wrapper.cc,25,F:\python_workplace\tensorflow-master\tensorflow\lite\toco\python\toco_from_protos.py,22
_pywrap_modify_model_interface,,F:\python_workplace\tensorflow-master\tensorflow\lite\tools\optimize\python\modify_model_interface.cc,27,F:\python_workplace\tensorflow-master\tensorflow\lite\tools\optimize\python\modify_model_interface_lib.py,18
format_converter_wrapper_pybind11,format_converter,F:\python_workplace\tensorflow-master\tensorflow\lite\tools\optimize\sparsity\format_converter_wrapper_pybind11.cc,27,F:\python_workplace\tensorflow-master\tensorflow\lite\tools\optimize\sparsity\format_converter_wrapper_pybind11_test.py,20
_pywrap_signature_def_util_wrapper,signature_def_util,F:\python_workplace\tensorflow-master\tensorflow\lite\tools\signature\signature_def_util_wrapper_pybind11.cc,86,F:\python_workplace\tensorflow-master\tensorflow\lite\tools\signature\signature_def_utils.py,21
_pywrap_mlir,,F:\python_workplace\tensorflow-master\tensorflow\python\mlir_wrapper.cc,24,F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_mlir.py,20
_pywrap_sanitizers,,F:\python_workplace\tensorflow-master\tensorflow\python\sanitizers_wrapper.cc,19,F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_sanitizers.py,19
_pywrap_tfe,,F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,623,F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_tfe.py,25
_pywrap_tf2,,F:\python_workplace\tensorflow-master\tensorflow\python\platform\enable_tf2.cc,19,F:\python_workplace\tensorflow-master\tensorflow\python\tf2.py,21
_errors_test_helper,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\errors_test_helper.cc,20,F:\python_workplace\tensorflow-master\tensorflow\python\autograph\impl\api_test.py,44
pybind_for_testing,,F:\python_workplace\tensorflow-master\tensorflow\python\autograph\impl\testing\pybind_for_testing.cc,33,F:\python_workplace\tensorflow-master\tensorflow\python\autograph\impl\conversion_test.py,27
pywrap_saved_model,,F:\python_workplace\tensorflow-master\tensorflow\python\saved_model\pywrap_saved_model.cc,30,F:\python_workplace\tensorflow-master\tensorflow\python\checkpoint\async_checkpoint_helper.py,35
pywrap_saved_model,,F:\python_workplace\tensorflow-master\tensorflow\python\saved_model\pywrap_saved_model.cc,30,F:\python_workplace\tensorflow-master\tensorflow\python\checkpoint\checkpoint.py,53
pywrap_saved_model,,F:\python_workplace\tensorflow-master\tensorflow\python\saved_model\pywrap_saved_model.cc,30,F:\python_workplace\tensorflow-master\tensorflow\python\checkpoint\checkpoint_metrics_test.py,25
_pywrap_device_lib,,F:\python_workplace\tensorflow-master\tensorflow\python\client\device_lib_wrapper.cc,30,F:\python_workplace\tensorflow-master\tensorflow\python\client\device_lib.py,20
_pywrap_events_writer,,F:\python_workplace\tensorflow-master\tensorflow\python\client\events_writer_wrapper.cc,26,F:\python_workplace\tensorflow-master\tensorflow\python\client\events_writer_test.py,23
_pywrap_tf_session,,F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,286,F:\python_workplace\tensorflow-master\tensorflow\python\client\pywrap_tf_session.py,21
_pywrap_tf_session,,F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,286,F:\python_workplace\tensorflow-master\tensorflow\python\client\pywrap_tf_session.py,20
_pywrap_tf_session,,F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,286,F:\python_workplace\tensorflow-master\tensorflow\python\client\pywrap_tf_session.py,19
_pywrap_tf_session,,F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,286,F:\python_workplace\tensorflow-master\tensorflow\python\client\pywrap_tf_session.py,22
_pywrap_tf2,,F:\python_workplace\tensorflow-master\tensorflow\python\platform\enable_tf2.cc,19,F:\python_workplace\tensorflow-master\tensorflow\python\compat\disable_v2_behavior_test.py,20
_pywrap_py_utils,,F:\python_workplace\tensorflow-master\tensorflow\compiler\tf2tensorrt\utils\py_utils_wrapper.cc,33,F:\python_workplace\tensorflow-master\tensorflow\python\compiler\tensorrt\trt_convert_test.py,26
_pywrap_py_utils,,F:\python_workplace\tensorflow-master\tensorflow\compiler\tf2tensorrt\utils\py_utils_wrapper.cc,33,F:\python_workplace\tensorflow-master\tensorflow\python\compiler\tensorrt\utils.py,23
_pywrap_py_utils,,F:\python_workplace\tensorflow-master\tensorflow\compiler\tf2tensorrt\utils\py_utils_wrapper.cc,33,F:\python_workplace\tensorflow-master\tensorflow\python\compiler\tensorrt\test\quantization_mnist_test.py,20
_pywrap_py_utils,,F:\python_workplace\tensorflow-master\tensorflow\compiler\tf2tensorrt\utils\py_utils_wrapper.cc,33,F:\python_workplace\tensorflow-master\tensorflow\python\compiler\tensorrt\test\tf_trt_integration_test_base.py,31
_pywrap_server_lib,,F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\server_lib_wrapper.cc,41,F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\ops\data_service_ops.py,23
_pywrap_utils,,F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\utils_wrapper.cc,23,F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\ops\data_service_ops.py,24
_pywrap_server_lib,,F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\server_lib_wrapper.cc,41,F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\server_lib.py,22
_pywrap_utils,,F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\utils_wrapper.cc,23,F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\server_lib.py,23
_pywrap_utils,,F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\utils_wrapper.cc,23,F:\python_workplace\tensorflow-master\tensorflow\python\data\ops\iterator_ops.py,40
_pywrap_debug_events_writer,,F:\python_workplace\tensorflow-master\tensorflow\python\client\debug_events_writer_wrapper.cc,26,F:\python_workplace\tensorflow-master\tensorflow\python\debug\lib\debug_events_writer.py,20
_pywrap_parallel_device,,F:\python_workplace\tensorflow-master\tensorflow\python\distribute\parallel_device\pywrap_parallel_device.cc,42,F:\python_workplace\tensorflow-master\tensorflow\python\distribute\parallel_device\parallel_device.py,20
_pywrap_utils,,F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\utils_wrapper.cc,23,F:\python_workplace\tensorflow-master\tensorflow\python\eager\backprop.py,48
