c_path,lineno,module_name,c_class_name,py_class_name
F:\python_workplace\tensorflow-master\tensorflow\compiler\mlir\tfrt\jit\python_binding\tf_jitrt_executor.cc,284,_tf_jitrt_executor,TfJitRtExecutor,TfJitRtExecutor
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla.cc,149,xla_extension,PjRtDevice,Device
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla.cc,403,xla_extension,CompiledMemoryStats,CompiledMemoryStats
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla.cc,715,xla_extension,PjRtDeviceTopology,DeviceTopology
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla.cc,720,xla_extension,PjRtExecutable,Executable
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla.cc,230,xla_extension,PyClient,Client
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla.cc,331,xla_extension,GpuAllocatorConfig,GpuAllocatorConfig
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla.cc,420,xla_extension,PyLoadedExecutable,LoadedExecutable
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla.cc,474,xla_extension,PyToken,Token
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla.cc,476,xla_extension,PyShardedToken,ShardedToken
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla.cc,498,xla_extension,PreemptionSyncManager,PreemptionSyncManager
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla.cc,518,xla_extension,DistributedRuntimeService,DistributedRuntimeService
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\xla.cc,524,xla_extension,DistributedRuntimeClient,DistributedRuntimeClient
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,36,tpu_client_extension,PyTpuClient,TpuClient
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,168,tpu_client_extension,PyTpuBuffer,PyTpuBuffer
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,222,tpu_client_extension,PyTpuExecutable,TpuExecutable
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,253,tpu_client_extension,TpuDevice,TpuDevice
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,216,tpu_client_extension,PyTpuToken,Token
F:\python_workplace\tensorflow-master\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,218,tpu_client_extension,PyShardedTpuToken,ShardedToken
F:\python_workplace\tensorflow-master\tensorflow\core\config\flags_api_wrapper.cc,36,flags_pybind,Flag,Flag
F:\python_workplace\tensorflow-master\tensorflow\core\config\flags_api_wrapper.cc,40,flags_pybind,Flags,Flags
F:\python_workplace\tensorflow-master\tensorflow\core\function\runtime_client\runtime_client_pybind.cc,39,runtime_client_pybind,Runtime,Runtime
F:\python_workplace\tensorflow-master\tensorflow\core\function\runtime_client\runtime_client_pybind.cc,29,runtime_client_pybind,EagerContext,EagerContext
F:\python_workplace\tensorflow-master\tensorflow\lite\python\interpreter_wrapper\interpreter_wrapper_pybind11.cc,96,_pywrap_tensorflow_interpreter_wrapper,InterpreterWrapper,InterpreterWrapper
F:\python_workplace\tensorflow-master\tensorflow\lite\python\metrics\wrapper\metrics_wrapper_pybind11.cc,33,_pywrap_tensorflow_lite_metrics_wrapper,MetricsWrapper,MetricsWrapper
F:\python_workplace\tensorflow-master\tensorflow\lite\python\optimize\calibration_wrapper_pybind11.cc,38,_pywrap_tensorflow_lite_calibration_wrapper,CalibrationWrapper,CalibrationWrapper
F:\python_workplace\tensorflow-master\tensorflow\lite\tools\optimize\sparsity\format_converter_wrapper_pybind11.cc,40,format_converter_wrapper_pybind11,FormatConverterFp32,FormatConverterFp32
F:\python_workplace\tensorflow-master\tensorflow\python\pywrap_dtensor_device.cc,385,_pywrap_dtensor_device,Mesh,Mesh
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,1780,_pywrap_tfe,EagerContextThreadLocalDataWrapper,EagerContextThreadLocalData
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,624,_pywrap_tfe,TFE_Executor,TFE_Executor
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,625,_pywrap_tfe,TFE_ContextOptions,TFE_ContextOptions
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,627,_pywrap_tfe,TFE_MonitoringCounter0,TFE_MonitoringCounter0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,629,_pywrap_tfe,TFE_MonitoringCounter1,TFE_MonitoringCounter1
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,631,_pywrap_tfe,TFE_MonitoringCounter2,TFE_MonitoringCounter2
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,633,_pywrap_tfe,TFE_MonitoringStringGauge0,TFE_MonitoringStringGauge0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,635,_pywrap_tfe,TFE_MonitoringStringGauge1,TFE_MonitoringStringGauge1
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,637,_pywrap_tfe,TFE_MonitoringStringGauge2,TFE_MonitoringStringGauge2
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,639,_pywrap_tfe,TFE_MonitoringStringGauge3,TFE_MonitoringStringGauge3
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,641,_pywrap_tfe,TFE_MonitoringStringGauge4,TFE_MonitoringStringGauge4
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,643,_pywrap_tfe,TFE_MonitoringIntGauge0,TFE_MonitoringIntGauge0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,645,_pywrap_tfe,TFE_MonitoringIntGauge1,TFE_MonitoringIntGauge1
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,647,_pywrap_tfe,TFE_MonitoringIntGauge2,TFE_MonitoringIntGauge2
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,649,_pywrap_tfe,TFE_MonitoringBoolGauge0,TFE_MonitoringBoolGauge0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,651,_pywrap_tfe,TFE_MonitoringBoolGauge1,TFE_MonitoringBoolGauge1
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,653,_pywrap_tfe,TFE_MonitoringBoolGauge2,TFE_MonitoringBoolGauge2
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,655,_pywrap_tfe,TFE_MonitoringCounterCell,TFE_MonitoringCounterCell
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,657,_pywrap_tfe,TFE_MonitoringIntGaugeCell,TFE_MonitoringIntGaugeCell
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,659,_pywrap_tfe,TFE_MonitoringStringGaugeCell,TFE_MonitoringStringGaugeCell
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,661,_pywrap_tfe,TFE_MonitoringBoolGaugeCell,TFE_MonitoringBoolGaugeCell
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,663,_pywrap_tfe,TFE_MonitoringSamplerCell,TFE_MonitoringSamplerCell
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,665,_pywrap_tfe,TFE_MonitoringBuckets,TFE_MonitoringBuckets
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,667,_pywrap_tfe,TFE_MonitoringSampler0,TFE_MonitoringSampler0
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,669,_pywrap_tfe,TFE_MonitoringSampler1,TFE_MonitoringSampler1
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,671,_pywrap_tfe,TFE_MonitoringSampler2,TFE_MonitoringSampler2
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,673,_pywrap_tfe,CancellationManager,TFE_CancellationManager
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,676,_pywrap_tfe,TF_DeviceList,TF_DeviceList
F:\python_workplace\tensorflow-master\tensorflow\python\tfe_wrapper.cc,677,_pywrap_tfe,TF_Function,TF_Function
F:\python_workplace\tensorflow-master\tensorflow\python\autograph\impl\testing\pybind_for_testing.cc,34,pybind_for_testing,TestClassDef,TestClassDef
F:\python_workplace\tensorflow-master\tensorflow\python\client\events_writer_wrapper.cc,27,_pywrap_events_writer,EventsWriter,EventsWriter
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,292,_pywrap_tf_session,StringBuffer,StringBuffer
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,317,_pywrap_tf_session,GraphHandle,GraphHandle
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,324,_pywrap_tf_session,OperationHandle,OperationHandle
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,365,_pywrap_tf_session,TF_Output,TF_Output
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,370,_pywrap_tf_session,TF_Input,TF_Input
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,304,_pywrap_tf_session,TF_Operation,TF_Operation
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,375,_pywrap_tf_session,TF_ImportGraphDefOptions,TF_ImportGraphDefOptions
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,377,_pywrap_tf_session,TF_ImportGraphDefResults,TF_ImportGraphDefResults
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,379,_pywrap_tf_session,TF_DeprecatedSession,TF_DeprecatedSession
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,381,_pywrap_tf_session,TF_Session,TF_Session
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,382,_pywrap_tf_session,TF_OperationDescription,TF_OperationDescription
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,384,_pywrap_tf_session,TF_Library,TF_Library
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,385,_pywrap_tf_session,TF_SessionOptions,TF_SessionOptions
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,386,_pywrap_tf_session,TF_Buffer,TF_Buffer
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,387,_pywrap_tf_session,TF_ApiDefMap,TF_ApiDefMap
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,388,_pywrap_tf_session,TF_Server,TF_Server
F:\python_workplace\tensorflow-master\tensorflow\python\client\tf_session_wrapper.cc,389,_pywrap_tf_session,TF_Status,TF_Status
F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\server_lib_wrapper.cc,42,_pywrap_server_lib,DispatchGrpcDataServer,DispatchGrpcDataServer
F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\server_lib_wrapper.cc,67,_pywrap_server_lib,WorkerGrpcDataServer,WorkerGrpcDataServer
F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\server_lib_wrapper.cc,149,_pywrap_server_lib,DataServiceMetadata,DataServiceMetadata
F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\server_lib_wrapper.cc,159,_pywrap_server_lib,SnapshotTaskProgressWrapper,SnapshotTaskProgressWrapper
F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\server_lib_wrapper.cc,174,_pywrap_server_lib,SnapshotStreamInfoWrapper,SnapshotStreamInfoWrapper
F:\python_workplace\tensorflow-master\tensorflow\python\framework\dtypes.cc,63,_dtypes,DataType,DType
F:\python_workplace\tensorflow-master\tensorflow\python\framework\memory_checker_test_helper.cc,31,_memory_checker_test_helper,MemoryCheckerTestHelper,MemoryCheckerTestHelper
F:\python_workplace\tensorflow-master\tensorflow\python\framework\proto_comparators.cc,71,_proto_comparators,ProtoComparisonOptions,ProtoComparisonOptions
F:\python_workplace\tensorflow-master\tensorflow\python\framework\python_api_info_wrapper.cc,59,_pywrap_python_api_info,PythonAPIInfo,PythonAPIInfo
F:\python_workplace\tensorflow-master\tensorflow\python\framework\python_api_info_wrapper.cc,71,_pywrap_python_api_info,InferredAttributes,InferredAttributes
F:\python_workplace\tensorflow-master\tensorflow\python\framework\python_tensor_converter_wrapper.cc,117,_pywrap_python_tensor_converter,PythonTensorConverter,PythonTensorConverter
F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\tape.cc,48,_tape,Tape,Tape
F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\tape.cc,63,_tape,GradientRegistry,GradientRegistry
F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\tape.cc,68,_tape,TapeContext,TapeContext
F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\unified_api.cc,116,_unified_api,AbstractContext,AbstractContext
F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\unified_api.cc,134,_unified_api,TracingContext,TracingContext
F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\unified_api.cc,186,_unified_api,AbstractOperation,AbstractOperation
F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\unified_api.cc,228,_unified_api,AbstractTensorHandle,AbstractTensorHandle
F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\unified_api.cc,181,_unified_api,ImmediateExecutionContext,ImmediateExecutionContext
F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\unified_api.cc,260,_unified_api,AbstractFunction,AbstractFunction
F:\python_workplace\tensorflow-master\tensorflow\python\grappler\cluster_wrapper.cc,74,_pywrap_tf_cluster,Cluster,tensorflow::grappler::Cluster
F:\python_workplace\tensorflow-master\tensorflow\python\grappler\item_wrapper.cc,125,_pywrap_tf_item,GrapplerItem,tensorflow::grappler::GrapplerItem
F:\python_workplace\tensorflow-master\tensorflow\python\lib\io\file_io_wrapper.cc,51,_pywrap_file_io,PyTransactionToken,TransactionToken
F:\python_workplace\tensorflow-master\tensorflow\python\lib\io\file_io_wrapper.cc,216,_pywrap_file_io,FileStatistics,FileStatistics
F:\python_workplace\tensorflow-master\tensorflow\python\lib\io\file_io_wrapper.cc,246,_pywrap_file_io,WritableFile,WritableFile
F:\python_workplace\tensorflow-master\tensorflow\python\lib\io\file_io_wrapper.cc,287,_pywrap_file_io,BufferedInputStream,BufferedInputStream
F:\python_workplace\tensorflow-master\tensorflow\python\lib\io\record_io_wrapper.cc,230,_pywrap_record_io,PyRecordReader,RecordIterator
F:\python_workplace\tensorflow-master\tensorflow\python\lib\io\record_io_wrapper.cc,274,_pywrap_record_io,PyRecordRandomReader,RandomRecordReader
F:\python_workplace\tensorflow-master\tensorflow\python\lib\io\record_io_wrapper.cc,304,_pywrap_record_io,ZlibCompressionOptions,ZlibCompressionOptions
