module_name,module_asname,c_file_path,c_lineno,python_file_path,py_lineno
xla_extension,_xla,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\compiler\xla\python\xla.cc,609,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\compiler\xla\python\xla_client.py,37
xla_extension,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\compiler\xla\python\xla.cc,609,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\compiler\xla\python\xla_client.py,38
tpu_client_extension,_tpu_client,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,27,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client.py,25
xla_extension,_xla,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\compiler\xla\python\xla.cc,609,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client.py,24
_pywrap_toco_api,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\lite\toco_python_api_wrapper.cc,22,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\lite\python\wrap_toco.py,23
_pywrap_string_util,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\lite\testing\string_util_wrapper.cc,23,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\lite\testing\zip_test_utils.py,35
_pywrap_toco_api,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\lite\toco_python_api_wrapper.cc,22,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\lite\toco\python\tensorflow_wrap_toco.py,23
_pywrap_toco_api,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\lite\toco_python_api_wrapper.cc,22,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\lite\toco\python\toco_from_protos.py,26
format_converter_extension,format_converter,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\lite\tools\optimize\sparsity\python\format_converter_extension.cc,32,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\lite\tools\optimize\sparsity\python\format_converter_extension_test.py,25
_pywrap_mlir,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\mlir_wrapper.cc,23,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\pywrap_mlir.py,23
_pywrap_tfe,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\tfe_wrapper.cc,272,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\pywrap_tfe.py,29
pybind_for_testing,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\autograph\impl\testing\pybind_for_testing.cc,33,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\autograph\impl\conversion_test.py,35
_pywrap_device_lib,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\client\device_lib_wrapper.cc,30,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\client\device_lib.py,22
_pywrap_events_writer,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\client\events_writer_wrapper.cc,26,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\client\events_writer_test.py,25
_pywrap_tf_session,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\client\tf_session_wrapper.cc,98,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\client\pywrap_tf_session.py,25
_pywrap_tf_session,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\client\tf_session_wrapper.cc,98,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\client\pywrap_tf_session.py,24
_pywrap_tf_session,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\client\tf_session_wrapper.cc,98,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\client\pywrap_tf_session.py,23
_pywrap_tf_session,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\client\tf_session_wrapper.cc,98,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\client\pywrap_tf_session.py,26
_pywrap_utils,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\util\util_wrapper.cc,23,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\data\util\nest.py,40
_pywrap_debug_events_writer,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\client\debug_events_writer_wrapper.cc,26,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\debug\lib\debug_events_writer.py,24
_pywrap_utils,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\util\util_wrapper.cc,23,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\eager\backprop.py,28
_pywrap_utils,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\util\util_wrapper.cc,23,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\eager\function.py,35
_pywrap_events_writer,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\client\events_writer_wrapper.cc,26,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\eager\profiler.py,41
_pywrap_profiler,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\profiler\internal\profiler_wrapper.cc,98,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\eager\profiler.py,46
_pywrap_profiler,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\profiler\internal\profiler_wrapper.cc,98,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\eager\profiler_client.py,21
_pywrap_utils,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\util\util_wrapper.cc,23,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\framework\composite_tensor.py,25
_pywrap_bfloat16,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\lib\core\bfloat16_wrapper.cc,19,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\framework\dtypes.py,28
_dtypes,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\framework\dtypes.cc,62,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\framework\dtypes.py,29
_pywrap_py_exception_registry,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\lib\core\py_exception_registry_wrapper.cc,26,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\framework\errors_impl.py,25
_pywrap_file_io,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\lib\io\file_io_wrapper.cc,38,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\framework\errors_test.py,26
_pywrap_python_op_gen,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\framework\python_op_gen_wrapper.cc,24,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\framework\load_library.py,28
_memory_checker_test_helper,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\framework\memory_checker_test_helper.cc,30,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\framework\memory_checker_test.py,20
_op_def_registry,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\framework\op_def_registry.cc,24,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\framework\op_def_registry.py,25
_python_memory_checker_helper,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\framework\python_memory_checker_helper.cc,20,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\framework\python_memory_checker.py,28
_pywrap_utils,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\util\util_wrapper.cc,23,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\framework\sparse_tensor.py,26
_pywrap_utils,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\util\util_wrapper.cc,23,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\framework\tensor_spec.py,23
_pywrap_util_port,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\util\port_wrapper.cc,20,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\framework\test_util.py,46
_pywrap_stacktrace_handler,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\platform\stacktrace_handler_wrapper.cc,21,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\framework\test_util.py,45
_pywrap_utils,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\util\util_wrapper.cc,23,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\framework\type_spec.py,26
_pywrap_tf_cluster,tf_cluster,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\grappler\cluster_wrapper.cc,73,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\grappler\cluster.py,26
_pywrap_cost_analyzer,tf_wrap,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\grappler\cost_analyzer_wrapper.cc,30,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\grappler\cost_analyzer.py,21
_pywrap_tf_item,tf_item,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\grappler\item_wrapper.cc,124,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\grappler\item.py,23
_pywrap_model_analyzer,tf_wrap,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\grappler\model_analyzer_wrapper.cc,27,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\grappler\model_analyzer.py,21
_pywrap_tf_optimizer,tf_opt,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\grappler\tf_optimizer_wrapper.cc,60,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\grappler\tf_optimizer.py,23
_pywrap_bfloat16,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\lib\core\bfloat16_wrapper.cc,19,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\lib\core\bfloat16_test.py,27
_pywrap_file_io,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\lib\io\file_io_wrapper.cc,38,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\lib\io\file_io.py,26
_pywrap_record_io,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\lib\io\record_io_wrapper.cc,202,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\lib\io\tf_record.py,22
_pywrap_utils,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\util\util_wrapper.cc,23,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\ops\resource_variable_ops.py,28
_pywrap_py_func,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\lib\core\py_func_wrapper.cc,21,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\ops\script_ops.py,31
_pywrap_utils,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\util\util_wrapper.cc,23,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\ops\variables.py,30
_pywrap_tfprof,print_mdl,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\util\tfprof_wrapper.cc,24,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\profiler\model_analyzer.py,30
_pywrap_profiler,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\profiler\internal\profiler_wrapper.cc,98,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\profiler\profiler_client.py,21
_pywrap_profiler,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\profiler\internal\profiler_wrapper.cc,98,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\profiler\profiler_v2.py,41
_pywrap_tfprof,print_mdl,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\util\tfprof_wrapper.cc,24,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\profiler\profile_context.py,28
_pywrap_scoped_annotation,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\profiler\internal\scoped_annotation_wrapper.cc,48,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\profiler\scoped_annotation.py,28
_pywrap_traceme,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\profiler\internal\traceme_wrapper.cc,45,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\profiler\traceme.py,28
_pywrap_tfprof,print_mdl,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\util\tfprof_wrapper.cc,24,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\profiler\internal\model_analyzer_testlib.py,22
_pywrap_events_writer,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\client\events_writer_wrapper.cc,26,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\summary\writer\event_file_writer.py,29
_pywrap_tfcompile,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\tfcompile_wrapper.cc,29,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\tools\saved_model_aot_compile.py,47
_pywrap_kernel_registry,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\util\kernel_registry_wrapper.cc,21,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\tools\selective_registration_header_lib.py,31
_pywrap_checkpoint_reader,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\util\py_checkpoint_reader_wrapper.cc,121,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\training\py_checkpoint_reader.py,20
_pywrap_quantize_training,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\training\quantize_training_wrapper.cc,41,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\training\quantize_training.py,21
_pywrap_utils,,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\util\util_wrapper.cc,23,F:\DLFs_dataset\tensorflow\tensorflow-2.2.0\tensorflow\python\util\nest.py,50
