c_path,lineno,module_name,c_class_name,py_class_name
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,363,xla_extension,ProgramShape,ProgramShape
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,380,xla_extension,Literal,Literal
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,387,xla_extension,DeviceAssignment,DeviceAssignment
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,460,xla_extension,PjRtDevice,Device
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,506,xla_extension,CpuDevice,CpuDevice
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,511,xla_extension,GpuDevice,GpuDevice
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,599,xla_extension,Frame,Frame
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,692,xla_extension,DebugOptions,DebugOptions
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,725,xla_extension,ExecutableBuildOptions,ExecutableBuildOptions
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,757,xla_extension,XlaComputation,XlaComputation
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,852,xla_extension,XlaBuilder,XlaBuilder
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,916,xla_extension,ChannelHandle,ChannelHandle
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,174,xla_extension,ProfilerServer,ProfilerServer
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,186,xla_extension,TraceMeWrapper,TraceMe
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,268,xla_extension,Shape,Shape
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,382,xla_extension,LiteralSlice,LiteralSlice
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,408,xla_extension,CompileOptions,CompileOptions
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,521,xla_extension,GpuAllocatorConfig,GpuAllocatorConfig
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,538,xla_extension,PyClient,Client
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,610,xla_extension,Traceback,Traceback
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,630,xla_extension,PyBuffer,Buffer
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,678,xla_extension,PyExecutable,Executable
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,772,xla_extension,HloPrintOptions,HloPrintOptions
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,827,xla_extension,HloModule,HloModule
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,850,xla_extension,XlaOp,XlaOp
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,933,xla_extension,DistributedRuntimeService,DistributedRuntimeService
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\xla.cc,936,xla_extension,DistributedRuntimeClient,DistributedRuntimeClient
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,33,tpu_client_extension,PyTpuClient,TpuClient
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,147,tpu_client_extension,PyTpuBuffer,PyTpuBuffer
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,186,tpu_client_extension,PyTpuExecutable,TpuExecutable
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,207,tpu_client_extension,TpuDevice,TpuDevice
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\lite\python\interpreter_wrapper\interpreter_wrapper_pybind11.cc,83,_pywrap_tensorflow_interpreter_wrapper,InterpreterWrapper,InterpreterWrapper
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\lite\python\optimize\calibration_wrapper_pybind11.cc,32,_pywrap_tensorflow_lite_calibration_wrapper,CalibrationWrapper,CalibrationWrapper
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\lite\tools\optimize\sparsity\python\format_converter_extension.cc,45,format_converter_extension,FormatConverterFp32,FormatConverterFp32
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,1446,_pywrap_tfe,EagerContextThreadLocalDataWrapper,EagerContextThreadLocalData
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,452,_pywrap_tfe,TFE_Executor,TFE_Executor
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,453,_pywrap_tfe,TFE_ContextOptions,TFE_ContextOptions
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,455,_pywrap_tfe,TFE_MonitoringCounter0,TFE_MonitoringCounter0
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,457,_pywrap_tfe,TFE_MonitoringCounter1,TFE_MonitoringCounter1
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,459,_pywrap_tfe,TFE_MonitoringCounter2,TFE_MonitoringCounter2
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,461,_pywrap_tfe,TFE_MonitoringStringGauge0,TFE_MonitoringStringGauge0
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,463,_pywrap_tfe,TFE_MonitoringStringGauge1,TFE_MonitoringStringGauge1
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,465,_pywrap_tfe,TFE_MonitoringStringGauge2,TFE_MonitoringStringGauge2
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,467,_pywrap_tfe,TFE_MonitoringIntGauge0,TFE_MonitoringIntGauge0
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,469,_pywrap_tfe,TFE_MonitoringIntGauge1,TFE_MonitoringIntGauge1
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,471,_pywrap_tfe,TFE_MonitoringIntGauge2,TFE_MonitoringIntGauge2
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,473,_pywrap_tfe,TFE_MonitoringBoolGauge0,TFE_MonitoringBoolGauge0
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,475,_pywrap_tfe,TFE_MonitoringBoolGauge1,TFE_MonitoringBoolGauge1
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,477,_pywrap_tfe,TFE_MonitoringBoolGauge2,TFE_MonitoringBoolGauge2
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,479,_pywrap_tfe,TFE_MonitoringCounterCell,TFE_MonitoringCounterCell
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,481,_pywrap_tfe,TFE_MonitoringIntGaugeCell,TFE_MonitoringIntGaugeCell
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,483,_pywrap_tfe,TFE_MonitoringStringGaugeCell,TFE_MonitoringStringGaugeCell
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,485,_pywrap_tfe,TFE_MonitoringBoolGaugeCell,TFE_MonitoringBoolGaugeCell
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,487,_pywrap_tfe,TFE_MonitoringSamplerCell,TFE_MonitoringSamplerCell
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,489,_pywrap_tfe,TFE_MonitoringBuckets,TFE_MonitoringBuckets
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,491,_pywrap_tfe,TFE_MonitoringSampler0,TFE_MonitoringSampler0
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,493,_pywrap_tfe,TFE_MonitoringSampler1,TFE_MonitoringSampler1
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,495,_pywrap_tfe,TFE_MonitoringSampler2,TFE_MonitoringSampler2
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,497,_pywrap_tfe,TFE_CancellationManager,TFE_CancellationManager
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,500,_pywrap_tfe,TF_DeviceList,TF_DeviceList
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\tfe_wrapper.cc,501,_pywrap_tfe,TF_Function,TF_Function
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\autograph\impl\testing\pybind_for_testing.cc,34,pybind_for_testing,TestClassDef,TestClassDef
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\client\events_writer_wrapper.cc,27,_pywrap_events_writer,EventsWriter,EventsWriter
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\client\tf_session_wrapper.cc,105,_pywrap_tf_session,TF_Output,TF_Output
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\client\tf_session_wrapper.cc,110,_pywrap_tf_session,TF_Input,TF_Input
F:\DLFs_dataset\tensorflow\tensorflow-2.4.0\tensorflow\python\client\tf_session_wrapper.cc,102,_pywrap_tf_session,TF_Graph,TF_Graph
