module_path,module_name,lineno
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\compiler\mlir\python\mlir_wrapper\filecheck_wrapper.cc,filecheck_wrapper,23
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\compiler\mlir\python\mlir_wrapper\mlir_wrapper.cc,mlir_wrapper,31
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\compiler\mlir\tfr\python\tfr_wrapper.cc,tfr_wrapper,34
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\compiler\tf2tensorrt\utils\py_utils_wrapper.cc,_pywrap_py_utils,30
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\compiler\xla\python\xla.cc,xla_extension,75
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\compiler\xla\python\tpu_driver\client\tpu_client_extension.cc,tpu_client_extension,28
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\lite\kernels\variable_ops_wrapper.cc,pywrap_variable_ops,18
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\lite\kernels\gradient\gradient_ops_wrapper.cc,pywrap_gradient_ops,19
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\lite\kernels\perception\perception_ops_wrapper.cc,pywrap_perception_ops,19
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\lite\python\analyzer_wrapper\analyzer_wrapper.cc,_pywrap_analyzer_wrapper,20
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\lite\python\interpreter_wrapper\interpreter_wrapper_pybind11.cc,_pywrap_tensorflow_interpreter_wrapper,26
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\lite\python\metrics_wrapper\metrics_wrapper_pybind11.cc,_pywrap_tensorflow_lite_metrics_wrapper,25
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\lite\python\optimize\calibration_wrapper_pybind11.cc,_pywrap_tensorflow_lite_calibration_wrapper,27
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\lite\python\testdata\test_registerer_wrapper.cc,_pywrap_test_registerer,16
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\lite\testing\string_util_wrapper.cc,_pywrap_string_util,24
F:\DLFs_dataset\tensorflow\tensorflow-2.6.0\tensorflow\lite\tools\optimize\python\modify_model_interface.cc,_pywrap_modify_model_interface,27
