py_fun_name,c_fun_name,lineno,methods_table,path
linear,eager_api_linear,66,CustomEagerFinalStateMethods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_custom_python_api.h
scale,eager_api_scale,1130,variable_functions,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
_add_backward_final_hook,eager_api__add_backward_final_hook,1134,variable_functions,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
run_backward,eager_api_run_backward,1138,variable_functions,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
run_partial_grad,eager_api_run_partial_grad,1142,variable_functions,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
_run_custom_op,eager_api_run_custom_op,1146,variable_functions,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
tensor_copy,eager_api_tensor_copy,1150,variable_functions,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
get_all_grads,eager_api_get_all_grads,1154,variable_functions,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
get_grads_lists,eager_api_get_grads_lists,1158,variable_functions,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
get_grads_types,eager_api_get_grads_types,1162,variable_functions,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
read_next_tensor_list,eager_api_read_next_tensor_list,1166,variable_functions,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
jit_function_call,eager_api_jit_function_call,1170,variable_functions,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
sparse_coo_tensor,eager_api_sparse_coo_tensor,1175,variable_functions,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
sparse_csr_tensor,eager_api_sparse_csr_tensor,1179,variable_functions,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
register_saved_tensors_hooks,eager_api_register_saved_tensors_hooks,1183,variable_functions,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
reset_saved_tensors_hooks,eager_api_reset_saved_tensors_hooks,1187,variable_functions,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
async_read,eager_api_async_read,1193,variable_functions,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
async_write,eager_api_async_write,1197,variable_functions,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
to_uva_tensor,eager_api_to_uva_tensor,1201,variable_functions,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
run_program,eager_api_run_program,67,CustomEagerMethods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_legacy_custom_python_api.h
__add__,tensor__add__method,1841,math_op_patch_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_math_op_patch.cc
__radd__,tensor__add__method,1845,math_op_patch_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_math_op_patch.cc
__sub__,tensor__sub__method,1849,math_op_patch_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_math_op_patch.cc
__rsub__,tensor__rsub__method,1853,math_op_patch_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_math_op_patch.cc
__mul__,tensor__mul__method,1857,math_op_patch_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_math_op_patch.cc
__rmul__,tensor__mul__method,1861,math_op_patch_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_math_op_patch.cc
__div__,tensor__div__method,1865,math_op_patch_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_math_op_patch.cc
__truediv__,tensor__div__method,1869,math_op_patch_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_math_op_patch.cc
__rdiv__,tensor__rdiv__method,1873,math_op_patch_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_math_op_patch.cc
__rtruediv__,tensor__rdiv__method,1877,math_op_patch_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_math_op_patch.cc
__floordiv__,tensor__floordiv__method,1881,math_op_patch_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_math_op_patch.cc
__pow__,tensor__pow__method,1885,math_op_patch_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_math_op_patch.cc
__rpow__,tensor__rpow__method,1889,math_op_patch_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_math_op_patch.cc
__mod__,tensor__mod__method,1893,math_op_patch_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_math_op_patch.cc
__matmul__,tensor__matmul__method,1897,math_op_patch_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_math_op_patch.cc
__gt__,tensor__gt__method,1901,math_op_patch_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_math_op_patch.cc
__ge__,tensor__ge__method,1905,math_op_patch_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_math_op_patch.cc
__lt__,tensor__lt__method,1909,math_op_patch_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_math_op_patch.cc
__le__,tensor__le__method,1913,math_op_patch_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_math_op_patch.cc
__eq__,tensor__eq__method,1917,math_op_patch_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_math_op_patch.cc
__ne__,tensor__ne__method,1921,math_op_patch_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_math_op_patch.cc
numpy,tensor_method_numpy,1973,variable_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
_is_initialized,tensor_method__is_initialized,1977,variable_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
_is_dense_tensor_hold_allocation,tensor_method__is_dense_tensor_hold_allocation,1981,variable_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
_copy_to,tensor_method__copy_to,1986,variable_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
copy_,tensor_method_copy_,1990,variable_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
clone,tensor_method_clone,1994,variable_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
reconstruct_from_,tensor_method_reconstruct_from_,1998,variable_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
retain_grads,tensor_retain_grads,2002,variable_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
clear_gradient,tensor_clear_gradient,2006,variable_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
is_dense,tensor_method_is_dense,2010,variable_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
_zero_grads,tensor__zero_grads,2014,variable_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
_share_buffer_to,tensor__share_buffer_to,2018,variable_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
_is_shared_buffer_with,tensor__is_shared_buffer_with,2022,variable_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
_share_underline_tensor_to,tensor__share_underline_tensor_to,2026,variable_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
_is_shared_underline_tensor_with,tensor__is_shared_underline_tensor_with,2030,variable_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
detach,tensor_method_detach,2034,variable_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
get_tensor,tensor_method_get_underline_tensor,2038,variable_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
get_selected_rows,tensor_method_get_underline_selected_rows,2042,variable_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
_get_tensor_from_selected_rows,tensor_method__get_tensor_from_selected_rows,2046,variable_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
_getitem_index_not_tensor,tensor__getitem_index_not_tensor,2050,variable_methods,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
