py_fun_name,c_fun_name,lineno,methods_table,path
bind,DimList_bind,440,DimList_methods,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
bind_len,DimList_bind_len,441,DimList_methods,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
unflatten,py_unflatten,1030,py_unflatten_def,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
dims,create_dim,3166,methods,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
dimlists,create_dimlist,3167,methods,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
_test_c,test_c,3168,methods,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
_wrap_method,_wrap_method,3169,methods,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
Tensor_from_positional,py_Tensor_from_positional,3170,methods,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
__torch_function__,py___torch_function__,3171,methods,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
tree_flatten,py_tree_flatten,3172,methods,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
order,order,3173,methods,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
index,py_index,3174,methods,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
stack,py_stack,3175,methods,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
split,py_split,3176,methods,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
expand,expand,3177,methods,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
__getitem__,py___getitem__,3178,methods,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
__setitem__,py___setitem__,3179,methods,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
_wrap,_wrap,3180,methods,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
Tensor_sum,Tensor_sum,3181,methods,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
_parse_test,_parse_test,3182,methods,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
_set_pointwise_optimize,_set_pointwise_optimize,3183,methods,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
_patch_tensor_class,_patch_tensor_class,3184,methods,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
_parse_to,THPVariable__parse_to,86,nn_functions,F:\python_workplace\pytorch-master\tools\autograd\templates\python_nn_functions.cpp
__add__,THPVariable_add,1229,variable_methods,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
__radd__,THPVariable_add,1230,variable_methods,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
__iadd__,THPVariable_add_,1231,variable_methods,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
__rmul__,THPVariable_mul,1232,variable_methods,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
__mul__,THPVariable_mul,1233,variable_methods,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
__imul__,THPVariable_mul_,1234,variable_methods,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
__sub__,THPVariable_sub,1235,variable_methods,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
__isub__,THPVariable_sub_,1236,variable_methods,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
__div__,THPVariable_div,1237,variable_methods,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
__truediv__,THPVariable_div,1238,variable_methods,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
__floordiv__,THPVariable_floor_divide,1239,variable_methods,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
__idiv__,THPVariable_div_,1240,variable_methods,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
__ifloordiv__,THPVariable_floor_divide_,1241,variable_methods,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
__mod__,THPVariable_remainder,1242,variable_methods,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
__imod__,THPVariable_remainder_,1243,variable_methods,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
__eq__,THPVariable_eq,1244,variable_methods,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
__ne__,THPVariable_ne,1245,variable_methods,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
__lt__,THPVariable_lt,1246,variable_methods,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
__le__,THPVariable_le,1247,variable_methods,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
__gt__,THPVariable_gt,1248,variable_methods,F:\python_workplace\pytorch-master\tools\autograd\templates\python_variable_methods.cpp
