module_name,methods_table,lineno,path
_C,methods,3186,F:\python_workplace\pytorch-master\functorch\csrc\dim\dim.cpp
torch._C._fft,fft_functions,59,F:\python_workplace\pytorch-master\tools\autograd\templates\python_fft_functions.cpp
torch._C._linalg,linalg_functions,46,F:\python_workplace\pytorch-master\tools\autograd\templates\python_linalg_functions.cpp
torch._C._nested,nested_functions,59,F:\python_workplace\pytorch-master\tools\autograd\templates\python_nested_functions.cpp
torch._C._nn,nn_functions,91,F:\python_workplace\pytorch-master\tools\autograd\templates\python_nn_functions.cpp
torch._C._return_types,,38,F:\python_workplace\pytorch-master\tools\autograd\templates\python_return_types.cpp
torch._C._sparse,sparse_functions,45,F:\python_workplace\pytorch-master\tools\autograd\templates\python_sparse_functions.cpp
torch._C._special,special_functions,57,F:\python_workplace\pytorch-master\tools\autograd\templates\python_special_functions.cpp
torch._C_flatbuffer,m,54,F:\python_workplace\pytorch-master\torch\csrc\init_flatbuffer_module.cpp
torch._C,,1219,F:\python_workplace\pytorch-master\torch\csrc\Module.cpp
torch._C._dynamo.eval_frame,_methods,585,F:\python_workplace\pytorch-master\torch\csrc\dynamo\eval_frame.c
torch._C._dynamo.guards,_methods,385,F:\python_workplace\pytorch-master\torch\csrc\dynamo\guards.cpp
torch._C._dynamo,,7,F:\python_workplace\pytorch-master\torch\csrc\dynamo\init.cpp
