module_name,methods_table,lineno,path
_C,methods,3183,F:\DLFs_dataset\pytorch\pytorch-1.13.0\functorch\csrc\dim\dim.cpp
torch._C._fft,fft_functions,59,F:\DLFs_dataset\pytorch\pytorch-1.13.0\tools\autograd\templates\python_fft_functions.cpp
torch._C._linalg,linalg_functions,46,F:\DLFs_dataset\pytorch\pytorch-1.13.0\tools\autograd\templates\python_linalg_functions.cpp
torch._C._nested,nested_functions,57,F:\DLFs_dataset\pytorch\pytorch-1.13.0\tools\autograd\templates\python_nested_functions.cpp
torch._C._nn,nn_functions,91,F:\DLFs_dataset\pytorch\pytorch-1.13.0\tools\autograd\templates\python_nn_functions.cpp
torch._C._return_types,,38,F:\DLFs_dataset\pytorch\pytorch-1.13.0\tools\autograd\templates\python_return_types.cpp
torch._C._sparse,sparse_functions,45,F:\DLFs_dataset\pytorch\pytorch-1.13.0\tools\autograd\templates\python_sparse_functions.cpp
torch._C._special,special_functions,57,F:\DLFs_dataset\pytorch\pytorch-1.13.0\tools\autograd\templates\python_special_functions.cpp
torch._C_flatbuffer,m,54,F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\init_flatbuffer_module.cpp
torch._C,,1101,F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\Module.cpp
